,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Lille (4 stagioni),Roma (2 stagioni),,Ligue 1 (4 stagioni),Serie A (2 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2018-2019,21,Lille,fr FRA,1. Ligue 1,2°,33.0,1727,1336,386,17,2,2,87,369,0,0,0,0,1287,5,56,Partite
2019-2020,22,Lille,fr FRA,1. Ligue 1,4°,23.0,1375,1094,274,15,1,10,53,258,1,0,0,0,1074,7,42,Partite
2020-2021,23,Lille,fr FRA,1. Ligue 1,1°,26.5,1648,1355,288,17,0,7,61,271,0,0,0,0,1273,5,45,Partite
2021-2022,24,Lille,fr FRA,1. Ligue 1,10°,30.0,1755,1453,291,22,3,22,66,269,0,0,0,0,1390,11,34,Partite
2022-2023,25,Roma,it ITA,1. Serie A,6°,16.7,927,733,192,12,0,4,42,180,0,0,0,0,697,2,20,Partite
2023-2024,26,Roma,it ITA,1. Serie A,5°,3.6,152,132,20,3,1,2,10,17,0,0,0,0,126,0,1,Partite
6 stagioni,2 club,,2 campionati,,132.7,7584,6103,1451,86,7,47,319,1364,1,0,0,0,5847,30,198,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Lille (4 stagioni),,1 campionato,,112.4,6505,5238,1239,71,6,41,267,1167,1,0,0,0,5024,28,177,
Roma (2 stagioni),,1 campionato,,20.3,1079,865,212,15,1,6,52,197,0,0,0,0,823,2,21,
,,,,,,,,,,,,,,,,,,,,
Ligue 1 (4 stagioni),,,,112.4,6505,5238,1239,71,6,41,267,1167,1,0,0,0,5024,28,177,
Serie A (2 stagioni),,,,20.3,1079,865,212,15,1,6,52,197,0,0,0,0,823,2,21,
