Giocatore,Stagione,Squadra,Paese,Competizione,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,GCA90,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",% compl..1,Compl..2,"Tent,.2",% compl..2,Compl..3,"Tent,.3",% compl..3,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco,Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Sh,Pass,Clr,Err,Matches,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Cmp,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,KP,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off
Aaron Martin,2022-2023,Mainz 05,de GER,1. Bundesliga,42.0,27.0,25.0,11.0,6.0,21.0,40.0,"52,5",19.0,22.0,1.0,21.0,15.0,57.0,31.0,0.0,Partite,59.0,"2,87",39.0,18.0,1.0,0.0,0.0,5.0,"0,24",4.0,1.0,0.0,0.0,0.0,0.0,761.0,1028.0,"74,0",12672.0,5222.0,385.0,424.0,"90,8",283.0,356.0,"79,5",73.0,187.0,"39,0",3.0,2.8,3.4,0.2,27.0,68.0,29.0,16.0,86.0,730.0,293.0,39.0,0.0,4.0,145.0,195.0,59.0,42.0,16.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Martin,2023-2024,Genoa,it ITA,1. Serie A,13.0,6.0,5.0,6.0,2.0,7.0,16.0,"43,8",9.0,7.0,1.0,6.0,5.0,18.0,7.0,0.0,Partite,19.0,"2,26",11.0,7.0,1.0,0.0,0.0,1.0,"0,12",1.0,0.0,0.0,0.0,0.0,0.0,231.0,349.0,"66,2",3997.0,1513.0,107.0,119.0,"89,9",89.0,122.0,"73,0",27.0,82.0,"32,9",0.0,1.1,1.2,-1.1,15.0,13.0,10.0,8.0,17.0,274.0,73.0,10.0,0.0,0.0,70.0,41.0,22.0,6.0,14.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Rrahmani,2022-2023,Napoli,it ITA,1. Serie A,33.0,18.0,20.0,13.0,0.0,17.0,26.0,"65,4",9.0,36.0,20.0,16.0,14.0,47.0,79.0,1.0,Partite,26.0,"0,96",23.0,0.0,1.0,0.0,1.0,4.0,"0,15",4.0,0.0,0.0,0.0,0.0,0.0,1977.0,2167.0,"91,2",39821.0,13543.0,641.0,688.0,"93,2",1039.0,1081.0,"96,1",266.0,349.0,"76,2",1.0,1.0,0.8,0.0,12.0,149.0,7.0,0.0,135.0,2097.0,67.0,63.0,0.0,30.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Rrahmani,2023-2024,Napoli,it ITA,1. Serie A,20.0,16.0,11.0,9.0,0.0,11.0,21.0,"52,4",10.0,16.0,7.0,9.0,15.0,35.0,64.0,0.0,Partite,29.0,"1,44",24.0,0.0,0.0,1.0,1.0,5.0,"0,25",5.0,0.0,0.0,0.0,0.0,0.0,1445.0,1612.0,"89,6",28083.0,9403.0,524.0,552.0,"94,9",727.0,773.0,"94,0",178.0,257.0,"69,3",0.0,0.6,0.5,-0.6,8.0,107.0,3.0,0.0,87.0,1552.0,56.0,49.0,0.0,34.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelino,2022-2023,Hoffenheim,de GER,1. Bundesliga,40.0,24.0,19.0,18.0,3.0,23.0,37.0,"62,2",14.0,32.0,6.0,26.0,25.0,65.0,67.0,0.0,Partite,88.0,"3,03",61.0,20.0,1.0,3.0,1.0,10.0,"0,34",8.0,1.0,0.0,1.0,0.0,0.0,1012.0,1544.0,"65,5",19297.0,7991.0,424.0,501.0,"84,6",433.0,616.0,"70,3",143.0,339.0,"42,2",8.0,7.2,7.7,0.8,50.0,82.0,52.0,29.0,108.0,1160.0,366.0,42.0,1.0,16.0,179.0,276.0,48.0,18.0,23.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelino,2023-2024,Roma,it ITA,1. Serie A,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,2.0,3.0,12.0,0.0,Partite,8.0,"2,26",7.0,1.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,147.0,186.0,"79,0",2484.0,986.0,73.0,75.0,"97,3",56.0,72.0,"77,8",16.0,33.0,"48,5",0.0,0.5,0.3,-0.5,5.0,12.0,5.0,3.0,8.0,162.0,22.0,2.0,0.0,2.0,7.0,19.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Bastoni,2022-2023,Inter,it ITA,1. Serie A,41.0,20.0,20.0,14.0,7.0,11.0,27.0,"40,7",16.0,27.0,13.0,14.0,24.0,65.0,45.0,0.0,Partite,52.0,"2,17",43.0,4.0,1.0,2.0,0.0,5.0,"0,21",3.0,1.0,0.0,0.0,1.0,0.0,1384.0,1671.0,"82,8",27841.0,9878.0,486.0,539.0,"90,2",677.0,751.0,"90,1",207.0,324.0,"63,9",2.0,2.7,2.9,-0.7,15.0,130.0,29.0,11.0,141.0,1510.0,152.0,53.0,2.0,24.0,49.0,77.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Bastoni,2023-2024,Inter,it ITA,1. Serie A,32.0,25.0,22.0,7.0,3.0,17.0,30.0,"56,7",13.0,16.0,8.0,8.0,19.0,51.0,35.0,0.0,Partite,48.0,"2,63",40.0,1.0,0.0,3.0,1.0,2.0,"0,11",2.0,0.0,0.0,0.0,0.0,0.0,1178.0,1359.0,"86,7",22810.0,7722.0,463.0,487.0,"95,1",539.0,591.0,"91,2",158.0,226.0,"69,9",0.0,2.8,2.7,-2.8,16.0,90.0,23.0,9.0,98.0,1259.0,95.0,44.0,1.0,20.0,55.0,46.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Buongiorno,2022-2023,Torino,it ITA,1. Serie A,38.0,25.0,22.0,16.0,0.0,16.0,31.0,"51,6",15.0,38.0,19.0,19.0,60.0,98.0,105.0,2.0,Partite,22.0,"0,73",17.0,0.0,0.0,1.0,2.0,4.0,"0,13",3.0,0.0,0.0,1.0,0.0,0.0,1332.0,1573.0,"84,7",22243.0,6857.0,578.0,643.0,"89,9",671.0,750.0,"89,5",57.0,113.0,"50,4",2.0,1.3,1.0,0.7,8.0,70.0,5.0,3.0,81.0,1527.0,41.0,30.0,1.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Buongiorno,2023-2024,Torino,it ITA,1. Serie A,48.0,28.0,30.0,15.0,3.0,15.0,25.0,"60,0",10.0,16.0,11.0,5.0,44.0,92.0,86.0,0.0,Partite,15.0,"0,82",11.0,0.0,0.0,1.0,2.0,1.0,"0,05",0.0,0.0,0.0,0.0,1.0,0.0,620.0,749.0,"82,8",10596.0,3472.0,269.0,311.0,"86,5",309.0,350.0,"88,3",35.0,63.0,"55,6",0.0,0.1,0.4,-0.1,3.0,21.0,4.0,1.0,43.0,738.0,11.0,10.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
