#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Falli,Falli subiti,Gialli,2 Gialli,Rossi,Errori Dec,Autogol,Intercetti,Rubati,Duelli Vinti,Duelli Persi,DA Vinti,DA Persi,Tackle
9,Bremer,Dif,JUV,453.10,17.40,0.40,25,25,2244,40,12,6,0,0,0,0,29,60,129,93,70,42,43
13,H. Theo,Dif,MIL,431.10,18.00,-0.90,24,24,2150,29,37,9,0,0,1,0,15,27,106,84,25,13,26
16,F. Dimarco,Dif,INT,422.90,17.90,-0.60,21,20,1452,7,13,0,0,0,1,0,6,26,48,42,3,7,28
21,G. Mancini,Dif,ROM,417.50,16.20,-0.40,26,26,2183,37,31,7,0,0,0,0,27,41,93,80,34,22,26
29,F. Acerbi,Dif,INT,396.40,17.30,0.80,20,18,1641,14,15,1,0,0,0,0,24,36,81,42,45,27,19
30,A. Bastoni,Dif,INT,395.40,18.40,0.40,20,20,1648,24,23,5,0,0,0,0,20,45,93,68,34,22,32
32,B. Djimsiti,Dif,ATA,392.50,12.80,2.30,26,26,2254,15,6,4,0,0,0,0,46,61,108,67,72,41,29
33,R. Bellanova,Dif,TOR,390.80,13.20,2.30,26,25,2147,12,44,5,0,0,0,0,13,29,124,86,26,29,23
34,G. Di Lorenzo,Dif,NAP,390.20,16.60,-1.90,25,25,2250,17,23,5,0,0,0,0,13,38,93,110,17,30,40
37,L. Martinez Quarta,Dif,FIO,385.70,13.60,2.50,21,19,1659,26,8,5,0,0,0,0,24,65,124,95,42,42,63
41,G. Scalvini,Dif,ATA,379.00,15.40,-0.40,25,24,2001,40,5,2,0,0,0,0,44,71,130,93,69,32,44
42,A. Buongiorno,Dif,TOR,378.90,15.90,2.00,19,19,1647,47,18,5,0,0,0,0,46,75,126,94,58,43,50
46,S. Beukema,Dif,BOL,373.40,13.70,1.60,23,23,2038,19,11,3,0,0,0,0,14,24,75,56,37,24,24
53,A. Dossena,Dif,CAG,365.40,10.10,3.40,27,25,2273,28,30,4,0,0,1,1,37,67,161,106,84,57,47
58,Amir Rrahmani,Dif,NAP,359.90,16.60,-0.90,21,21,1817,14,7,3,0,0,0,0,15,31,89,61,57,32,20
60,R. Calafiori,Dif,BOL,353.20,12.30,2.40,23,19,1733,26,16,4,0,0,0,1,40,60,98,64,46,18,28
63,F. Gatti,Dif,JUV,346.70,13.60,0.10,23,21,1875,26,14,6,0,0,0,2,12,26,79,63,38,20,22
65,F. Tomori,Dif,MIL,343.10,17.70,0.20,17,16,1395,16,6,2,1,1,0,0,20,39,52,39,16,12,28
67,M. Darmian,Dif,INT,337.90,14.10,-0.90,23,19,1722,18,7,2,0,0,0,0,12,30,57,61,12,12,36
68,N. Perez,Dif,UDI,333.90,11.30,0.90,27,27,2430,26,11,4,0,0,0,0,33,72,136,73,63,34,57
70,S. Kolasinac,Dif,ATA,331.50,13.50,-0.60,25,22,1875,23,16,3,0,0,0,0,18,43,82,71,27,28,35
73,D. Dumfries,Dif,INT,328.30,14.70,-0.80,21,15,1298,19,17,1,0,0,0,0,9,21,75,62,28,15,19
75,Danilo,Dif,JUV,327.90,17.00,-0.50,18,17,1550,16,4,5,0,0,0,0,25,48,74,44,27,18,38
76,S. Luperto,Dif,EMP,326.70,11.00,1.90,27,27,2430,19,8,2,0,0,1,0,17,36,93,74,51,47,30
77,R. Rodriguez,Dif,TOR,325.40,11.00,1.00,25,24,1979,17,7,3,0,0,1,0,20,41,78,53,31,22,34
83,L. Caldirola,Dif,MON,314.30,10.70,1.60,23,22,1945,21,17,3,1,1,0,0,26,39,67,53,27,23,23
