#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Goal Rig,Dribb Riusciti,Ass,Pass Riusciti,Pass Chiave,Falli,Falli Subiti,Gialli,Rossi,Pall Rubati,Tackle,Clean Sheet,Parate
9,Bremer,Dif,JUV,453.10,17.40,0.40,25,25,2244,2,11,3,0,4,0,1195,4,40,12,6,0,60,43,12,0
13,H. Theo,Dif,MIL,431.10,18.00,-0.90,24,24,2150,4,38,10,1,19,3,1200,36,29,37,9,0,27,26,9,0
16,F. Dimarco,Dif,INT,422.90,17.90,-0.60,21,20,1452,4,33,13,0,4,6,582,42,7,13,0,0,26,28,12,0
21,G. Mancini,Dif,ROM,417.50,16.20,-0.40,26,26,2183,3,16,6,0,2,1,1287,6,37,31,7,0,41,26,7,0
29,F. Acerbi,Dif,INT,396.40,17.30,0.80,20,18,1641,2,13,5,0,2,1,1073,5,14,15,1,0,36,19,10,0
30,A. Bastoni,Dif,INT,395.40,18.40,0.40,20,20,1648,1,12,4,0,6,0,1136,16,24,23,5,0,45,32,12,0
32,B. Djimsiti,Dif,ATA,392.50,12.80,2.30,26,26,2254,0,9,0,0,1,0,1138,5,15,6,4,0,61,29,11,0
33,R. Bellanova,Dif,TOR,390.80,13.20,2.30,26,25,2147,1,24,2,0,32,5,673,31,12,44,5,0,29,23,12,0
34,G. Di Lorenzo,Dif,NAP,390.20,16.60,-1.90,25,25,2250,1,22,5,0,13,5,1356,36,17,23,5,0,38,40,6,0
37,L. Martinez Quarta,Dif,FIO,385.70,13.60,2.50,21,19,1659,4,16,6,0,11,0,965,9,26,8,5,0,65,63,3,0
41,G. Scalvini,Dif,ATA,379.00,15.40,-0.40,25,24,2001,0,15,5,0,13,3,966,9,40,5,2,0,71,44,8,0
42,A. Buongiorno,Dif,TOR,378.90,15.90,2.00,19,19,1647,3,11,5,0,0,0,623,3,47,18,5,0,75,50,10,0
46,S. Beukema,Dif,BOL,373.40,13.70,1.60,23,23,2038,1,8,2,0,4,1,1411,6,19,11,3,0,24,24,10,0
53,A. Dossena,Dif,CAG,365.40,10.10,3.40,27,25,2273,2,18,5,0,3,3,842,9,28,30,4,0,67,47,4,0
