#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Pali,Goal Testa,Goal Rig,Goal Punizione,Chance Fallite,Goal/Min,SCR,Dribb Tentati,Dribb Riusciti
1,Danilo,Dif,JUV,787.90,15.80,0.70,37,35,3182,3,32,5,2,1,0,0,1,1060.67,9.38,16,7
2,G. Di Lorenzo,Dif,NAP,780.20,16.70,-0.40,37,36,3257,3,31,13,0,1,0,0,0,1085.67,9.68,28,11
3,Kim Min-Jae,Dif,NAP,775.00,16.40,-0.20,35,35,3054,2,8,4,1,2,0,0,2,1527,25,7,4
12,Carlos Augusto,Dif,MON,661.80,13.70,1.90,35,35,3087,6,42,16,0,0,0,0,4,514.5,14.29,57,32
14,A. Romagnoli,Dif,LAZ,622.90,12.80,0.60,34,33,2925,2,13,5,2,1,0,0,0,1462.5,15.38,1,1
19,R. Ibanez,Dif,ROM,598.20,12.30,0.20,33,32,2796,3,29,11,0,3,0,0,4,932,10.34,19,12
20,F. Tomori,Dif,MIL,594.60,14.90,-3.40,33,32,2765,1,9,4,0,0,0,0,1,2765,11.11,4,3
22,Bremer,Dif,JUV,586.50,15.80,-2.60,30,30,2639,4,32,7,0,4,0,0,6,659.75,12.5,7,3
23,Amir Rrahmani,Dif,NAP,581.50,14.20,-0.10,29,27,2450,2,21,3,1,1,0,0,2,1225,9.52,6,3
25,C. Smalling,Dif,ROM,571.90,13.90,-1.90,32,31,2807,3,17,5,0,3,0,0,2,935.67,17.65,3,2
26,S. Posch,Dif,BOL,570.40,12.90,2.20,30,30,2542,6,28,10,0,3,0,0,2,423.67,21.43,27,11
27,D. Udogie,Dif,UDI,568.80,12.80,-1.00,33,31,2716,3,27,10,0,0,0,0,2,905.33,11.11,100,50
28,H. Theo,Dif,MIL,566.00,15.20,-4.00,32,32,2775,4,52,12,1,0,1,0,3,693.75,7.69,55,19
29,A. Marusic,Dif,LAZ,560.50,11.60,1.10,33,31,2764,0,16,7,1,0,0,0,2,0,0,13,10
32,R. Toloi,Dif,ATA,548.90,12.00,0.40,32,32,2791,2,29,9,1,0,0,0,3,1395.5,6.9,14,5
35,F. Parisi,Dif,EMP,545.50,11.50,2.10,33,33,2836,2,21,2,0,0,0,0,0,1418,9.52,108,61
36,A. Izzo,Dif,MON,539.60,11.30,3.00,30,29,2475,1,16,4,0,1,0,0,3,2475,6.25,20,11
38,G. Mancini,Dif,ROM,532.90,12.80,-4.50,35,33,2865,1,22,5,1,0,0,0,2,2865,4.55,10,5
39,A. Buongiorno,Dif,TOR,532.20,11.80,1.60,34,30,2723,1,20,1,0,1,0,0,1,2723,5,13,6
43,S. Luperto,Dif,EMP,517.80,10.20,1.70,36,36,3137,2,18,4,0,1,0,0,0,1568.5,11.11,2,2
45,F. Dimarco,Dif,INT,512.30,12.00,-1.30,33,26,2088,4,49,15,1,0,0,1,3,522,8.16,18,5
47,N. Casale,Dif,LAZ,511.70,11.90,1.20,29,27,2436,1,8,2,0,0,0,0,0,2436,12.5,3,1
49,N. Perez,Dif,UDI,511.10,11.60,-1.20,34,33,2828,2,16,8,0,2,0,0,0,1414,12.5,11,5
53,F. Acerbi,Dif,INT,497.70,12.80,-1.00,31,25,2418,0,18,2,1,0,0,0,0,0,0,11,7
54,L. Martinez Quarta,Dif,FIO,495.80,11.10,2.00,27,25,2170,1,27,11,0,0,0,0,3,2170,3.7,14,11
57,C. Biraghi,Dif,FIO,494.70,12.60,-2.20,33,30,2555,2,25,6,2,0,0,2,1,1277.5,8,16,7
59,J. Bijol,Dif,UDI,494.40,11.90,-0.80,32,32,2732,3,20,7,0,2,0,0,1,910.67,15,5,2
63,J. Lucumi,Dif,BOL,488.00,11.10,0.30,33,33,2901,0,11,3,0,0,0,0,0,0,0,6,4
65,P. Kalulu,Dif,MIL,486.60,12.20,-3.20,34,26,2542,1,11,2,1,1,0,0,3,2542,9.09,14,9
66,R. Rodriguez,Dif,TOR,484.90,10.20,1.10,35,30,2670,0,11,4,1,0,0,0,0,0,0,12,7
71,F. Baschirotto,Dif,LEC,480.80,9.10,2.00,37,37,3330,3,21,6,0,3,0,0,1,1110,14.29,4,3
76,Dodo,Dif,FIO,469.80,12.60,-2.60,33,28,2338,1,11,4,1,0,0,0,0,2338,9.09,53,32
77,E. Hysaj,Dif,LAZ,467.60,11.00,0.20,34,22,1992,1,4,2,0,0,0,0,0,1992,25,16,6
82,Rogerio,Dif,SAS,461.60,9.60,0.60,36,34,2999,0,15,5,0,0,0,0,0,0,0,33,22
