#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Ass,Passaggi,Pass Riusciti,% Pass Riusciti,Pass Chiave,Chance Create,Cross,Cross Riusciti,Cross no Corner
9,Bremer,Dif,JUV,453.10,17.40,0.40,25,25,2244,0,1372,1195,87.1,4,0,1,0,1
13,H. Theo,Dif,MIL,431.10,18.00,-0.90,24,24,2150,3,1372,1200,87.46,36,5,58,17,47
16,F. Dimarco,Dif,INT,422.90,17.90,-0.60,21,20,1452,6,694,582,83.86,42,11,145,41,108
21,G. Mancini,Dif,ROM,417.50,16.20,-0.40,26,26,2183,1,1475,1287,87.25,6,1,21,3,21
29,F. Acerbi,Dif,INT,396.40,17.30,0.80,20,18,1641,1,1184,1073,90.63,5,2,6,1,6
30,A. Bastoni,Dif,INT,395.40,18.40,0.40,20,20,1648,0,1255,1136,90.52,16,8,54,11,54
32,B. Djimsiti,Dif,ATA,392.50,12.80,2.30,26,26,2254,0,1282,1138,88.77,5,1,4,1,4
33,R. Bellanova,Dif,TOR,390.80,13.20,2.30,26,25,2147,5,788,673,85.41,31,5,119,27,119
34,G. Di Lorenzo,Dif,NAP,390.20,16.60,-1.90,25,25,2250,5,1551,1356,87.43,36,6,92,16,92
37,L. Martinez Quarta,Dif,FIO,385.70,13.60,2.50,21,19,1659,0,1181,965,81.71,9,0,3,1,3
41,G. Scalvini,Dif,ATA,379.00,15.40,-0.40,25,24,2001,3,1193,966,80.97,9,2,4,2,4
42,A. Buongiorno,Dif,TOR,378.90,15.90,2.00,19,19,1647,0,748,623,83.29,3,0,3,1,3
46,S. Beukema,Dif,BOL,373.40,13.70,1.60,23,23,2038,1,1574,1411,89.64,6,1,2,0,2
53,A. Dossena,Dif,CAG,365.40,10.10,3.40,27,25,2273,3,1032,842,81.59,9,4,1,0,1
58,Amir Rrahmani,Dif,NAP,359.90,16.60,-0.90,21,21,1817,0,1606,1446,90.04,7,0,2,0,2
60,R. Calafiori,Dif,BOL,353.20,12.30,2.40,23,19,1733,2,1279,1152,90.07,10,1,6,2,6
63,F. Gatti,Dif,JUV,346.70,13.60,0.10,23,21,1875,0,934,799,85.55,6,3,10,3,10
65,F. Tomori,Dif,MIL,343.10,17.70,0.20,17,16,1395,0,1140,1040,91.23,1,0,2,0,2
67,M. Darmian,Dif,INT,337.90,14.10,-0.90,23,19,1722,1,950,805,84.74,16,1,15,6,14
68,N. Perez,Dif,UDI,333.90,11.30,0.90,27,27,2430,0,1144,939,82.08,6,0,19,3,19
70,S. Kolasinac,Dif,ATA,331.50,13.50,-0.60,25,22,1875,0,1038,884,85.16,6,1,8,2,8
73,D. Dumfries,Dif,INT,328.30,14.70,-0.80,21,15,1298,3,472,373,79.03,23,4,33,10,33
75,Danilo,Dif,JUV,327.90,17.00,-0.50,18,17,1550,1,1088,941,86.49,16,1,12,3,12
76,S. Luperto,Dif,EMP,326.70,11.00,1.90,27,27,2430,1,1316,1102,83.74,9,2,8,0,8
77,R. Rodriguez,Dif,TOR,325.40,11.00,1.00,25,24,1979,1,1143,976,85.39,10,1,28,15,23
83,L. Caldirola,Dif,MON,314.30,10.70,1.60,23,22,1945,1,1258,1146,91.1,5,1,4,1,4
87,S. de Vrij,Dif,INT,311.20,13.50,0.50,20,13,1216,0,688,632,91.86,1,0,0,0,0
88,A. Cambiaso,Dif,JUV,311.20,11.00,1.50,23,17,1533,3,671,593,88.38,17,2,51,11,46
89,A. Marusic,Dif,LAZ,311.10,12.00,-1.00,27,27,2249,0,1170,987,84.36,5,1,28,7,28
90,N. Milenkovic,Dif,FIO,310.40,13.30,-1.00,25,20,1891,0,1207,1022,84.67,5,0,0,0,0
91,M. Ruggeri,Dif,ATA,308.90,8.90,2.90,24,23,1932,3,992,822,82.86,18,4,83,27,78
96,S. Posch,Dif,BOL,306.50,13.80,-0.40,22,20,1647,2,1268,1051,82.89,15,2,31,7,31
