#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Parate,Clean Sheet,Goal Subiti,Rig Parati,Rig Subiti
9,Bremer,Dif,JUV,453.10,17.40,0.40,25,25,2244,0,12,17,0,0
13,H. Theo,Dif,MIL,431.10,18.00,-0.90,24,24,2150,0,9,30,0,6
16,F. Dimarco,Dif,INT,422.90,17.90,-0.60,21,20,1452,0,12,11,0,2
21,G. Mancini,Dif,ROM,417.50,16.20,-0.40,26,26,2183,0,7,27,0,2
29,F. Acerbi,Dif,INT,396.40,17.30,0.80,20,18,1641,0,10,11,0,1
30,A. Bastoni,Dif,INT,395.40,18.40,0.40,20,20,1648,0,12,10,0,2
32,B. Djimsiti,Dif,ATA,392.50,12.80,2.30,26,26,2254,0,11,24,0,4
33,R. Bellanova,Dif,TOR,390.80,13.20,2.30,26,25,2147,0,12,22,0,3
34,G. Di Lorenzo,Dif,NAP,390.20,16.60,-1.90,25,25,2250,0,6,29,0,1
37,L. Martinez Quarta,Dif,FIO,385.70,13.60,2.50,21,19,1659,0,3,20,0,5
41,G. Scalvini,Dif,ATA,379.00,15.40,-0.40,25,24,2001,0,8,28,0,5
42,A. Buongiorno,Dif,TOR,378.90,15.90,2.00,19,19,1647,0,10,12,0,2
46,S. Beukema,Dif,BOL,373.40,13.70,1.60,23,23,2038,0,10,19,0,2
53,A. Dossena,Dif,CAG,365.40,10.10,3.40,27,25,2273,0,4,40,0,1
58,Amir Rrahmani,Dif,NAP,359.90,16.60,-0.90,21,21,1817,0,4,24,0,1
60,R. Calafiori,Dif,BOL,353.20,12.30,2.40,23,19,1733,0,7,19,0,3
63,F. Gatti,Dif,JUV,346.70,13.60,0.10,23,21,1875,0,9,18,0,0
65,F. Tomori,Dif,MIL,343.10,17.70,0.20,17,16,1395,0,6,14,0,1
67,M. Darmian,Dif,INT,337.90,14.10,-0.90,23,19,1722,0,12,10,0,1
68,N. Perez,Dif,UDI,333.90,11.30,0.90,27,27,2430,0,7,41,0,7
70,S. Kolasinac,Dif,ATA,331.50,13.50,-0.60,25,22,1875,0,8,20,0,4
73,D. Dumfries,Dif,INT,328.30,14.70,-0.80,21,15,1298,0,9,7,0,1
75,Danilo,Dif,JUV,327.90,17.00,-0.50,18,17,1550,0,9,13,0,0
76,S. Luperto,Dif,EMP,326.70,11.00,1.90,27,27,2430,0,7,41,0,4
77,R. Rodriguez,Dif,TOR,325.40,11.00,1.00,25,24,1979,0,11,21,0,3
83,L. Caldirola,Dif,MON,314.30,10.70,1.60,23,22,1945,0,6,31,0,5
87,S. de Vrij,Dif,INT,311.20,13.50,0.50,20,13,1216,0,9,3,0,1
88,A. Cambiaso,Dif,JUV,311.20,11.00,1.50,23,17,1533,0,6,13,0,0
89,A. Marusic,Dif,LAZ,311.10,12.00,-1.00,27,27,2249,0,9,26,0,2
90,N. Milenkovic,Dif,FIO,310.40,13.30,-1.00,25,20,1891,0,5,24,0,6
91,M. Ruggeri,Dif,ATA,308.90,8.90,2.90,24,23,1932,0,9,22,0,5
96,S. Posch,Dif,BOL,306.50,13.80,-0.40,22,20,1647,0,7,18,0,2
98,D. Calabria,Dif,MIL,302.70,13.40,-1.20,23,20,1652,0,5,20,0,3
101,J. Vasquez,Dif,GEN,296.60,9.10,2.60,26,21,1878,0,5,22,0,1
103,V. Kristiansen,Dif,BOL,295.80,11.00,1.10,23,18,1594,0,7,15,0,2
105,C. Biraghi,Dif,FIO,295.10,13.20,-0.70,22,21,1821,0,6,20,0,4
107,Pablo Mari,Dif,MON,292.50,12.20,-0.30,23,19,1643,0,7,23,0,5
109,M. Kayode,Dif,FIO,289.00,9.00,3.10,18,15,1438,0,7,12,0,1
111,Diego Llorente,Dif,ROM,288.50,10.90,1.30,22,20,1633,0,3,21,0,1
112,Carlos Augusto,Dif,INT,288.10,13.50,-2.50,26,7,1045,0,6,1,0,0
119,A. Romagnoli,Dif,LAZ,281.90,14.70,-1.60,20,18,1689,0,7,20,0,1
121,M. Pongracic,Dif,LEC,280.90,9.80,0.80,25,25,2230,0,2,38,0,4
126,V. Gendrey,Dif,LEC,275.20,9.70,0.20,26,25,2208,0,2,38,0,4
129,D. Zappacosta,Dif,ATA,272.70,12.30,-1.20,23,16,1334,0,7,17,0,2
136,M. Bani,Dif,GEN,263.80,9.90,1.40,21,21,1775,0,4,24,0,1
140,A. Florenzi,Dif,MIL,260.00,8.40,1.60,24,13,1197,0,5,13,0,5
142,B. Pavard,Dif,INT,258.30,16.40,-1.10,15,13,1019,0,6,6,0,2
143,D. D'Ambrosio,Dif,MON,257.10,11.20,0.60,19,15,1361,0,5,16,0,2
144,J. Lucumi,Dif,BOL,256.30,10.80,0.80,18,12,1224,0,5,10,0,1
146,S. Romagnoli,Dif,FRO,256.10,8.30,0.90,23,20,1833,0,2,39,0,1
149,E. Ndicka,Dif,ROM,253.30,14.40,-1.00,17,17,1513,0,5,17,0,1
152,P. Dawidowicz,Dif,VER,248.00,9.30,0.50,21,19,1631,0,5,21,0,2
154,I. Monterisi,Dif,FRO,247.20,8.00,1.40,21,16,1446,0,2,35,0,2
159,Lazaro,Dif,TOR,241.20,9.30,0.70,24,19,1713,0,7,18,0,2
163,D. Bradaric,Dif,SAL,239.20,9.50,0.00,26,22,2046,0,2,44,0,9
165,R. Kristensen,Dif,ROM,238.50,9.70,-0.90,25,16,1480,0,3,23,0,1
167,S. Kjaer,Dif,MIL,236.80,11.20,0.50,16,13,1079,0,7,13,0,4
174,G. Magnani,Dif,VER,229.90,8.60,0.60,23,20,1764,0,4,27,0,2
178,M. Erlic,Dif,SAS,226.20,9.20,-0.30,23,22,1908,0,1,36,0,5
180,L. Ostigard,Dif,NAP,224.80,8.80,0.80,17,12,1054,0,4,13,0,0
183,C. Okoli,Dif,FRO,223.00,8.50,0.50,23,21,1945,0,1,46,0,4
185,F. Baschirotto,Dif,LEC,221.50,10.60,-2.50,26,26,2305,0,1,44,0,4
186,H. Kamara,Dif,UDI,221.30,7.90,-0.40,24,16,1347,0,4,21,0,3
187,A. Carboni,Dif,MON,220.90,8.60,1.10,17,12,1186,0,4,15,0,2
188,M. Lazzari,Dif,LAZ,219.70,11.30,-0.80,18,15,1305,0,6,11,0,1
191,G. Zappa,Dif,CAG,215.30,7.50,0.10,27,18,1895,0,3,39,0,2
195,L. Cacace,Dif,EMP,210.10,8.70,0.20,21,17,1587,0,5,22,0,2
197,A. Ismajli,Dif,EMP,208.10,8.70,0.20,21,18,1644,0,4,25,0,3
198,L. Ranieri,Dif,FIO,207.20,8.20,1.10,18,15,1347,0,5,17,0,2
199,F. Ebosele,Dif,UDI,206.80,7.90,-0.30,26,20,1595,0,4,27,0,5
201,J. Jesus,Dif,NAP,205.90,10.50,0.50,15,14,1307,0,3,16,0,1
