Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Kevin Bonifazi27,  Di(C)","Kevin Bonifazi 27,  Di(C)",187,70,1,90,4,-,1,1,7,1,-,-,6.22
"2Stefan Posch26,  Di(CD)","Stefan Posch 26,  Di(CD)",189,82,20(2),1649,2.6,0.6,1.1,0.3,1.9,1.1,0.3,-,6.67
"3Remo Freuler31,  MC","Remo Freuler 31,  MC",181,80,20(2),1769,2.5,1,1.4,-,1.4,1,0.3,-,6.76
"4Jhon Lucumí25,  Di(C)","Jhon Lucumí 25,  Di(C)",187,84,12(6),1224,1.9,0.3,0.3,0.2,2.1,0.3,0.4,-,6.75
"5Lewis Ferguson24,  Cc(C)","Lewis Ferguson 24,  Cc(C)",181,75,26,2323,1.4,0.5,1.7,-,0.9,0.7,0.2,-,7.00
"6Victor Kristiansen21,  Di(S)","Victor Kristiansen 21,  Di(S)",181,0,18(5),1595,1.3,0.4,1,0.1,1.1,0.5,0.3,-,6.63
"7Tommaso Corazza19,  Defender","Tommaso Corazza 19,  Defender",174,0,1(5),144,1.3,0.7,0.2,-,0.3,0.7,-,-,6.24
"8Riccardo Calafiori21,  Di(C)","Riccardo Calafiori 21,  Di(C)",188,86,19(4),1733,1.3,1.7,1.1,0.1,2.3,0.3,0.5,1,6.75
"9Dan Ndoye23,  CO(D)","Dan Ndoye 23,  CO(D)",184,79,14(8),1253,1.1,0.3,1,-,0.4,0.8,-,-,6.56
"10Sam Beukema25,  Di(C)","Sam Beukema 25,  Di(C)",188,77,23,2038,1.1,0.6,0.8,0.4,3.3,0.3,0.7,-,6.71
"11Alexis Saelemaekers24,  Cc(SD)","Alexis Saelemaekers 24,  Cc(SD)",180,72,13(7),1213,1.1,0.3,0.6,-,0.4,0.6,0.1,-,6.66
"12Joshua Zirkzee22,  AC","Joshua Zirkzee 22,  AC",193,84,25(1),2186,1,0.1,0.9,0.1,1.3,0.4,-,-,7.12
"13Nikola Moro25,  Cc(C)","Nikola Moro 25,  Cc(C)",183,77,9(11),696,0.9,0.3,0.5,-,0.5,0.4,0.1,-,6.34
"14Michel Aebischer27,  Cc(CD)","Michel Aebischer 27,  Cc(CD)",183,76,17(9),1463,0.8,0.4,1,0.1,0.5,0.5,0.1,-,6.37
"15Kacper Urbanski19,  CO(S)","Kacper Urbanski 19,  CO(S)",178,0,5(9),506,0.8,0.2,0.4,-,0.4,0.4,-,-,6.46
"16Riccardo Orsolini27,  Cc(CD),AC","Riccardo Orsolini 27,  Cc(CD),AC",183,73,15(8),1340,0.7,0.3,0.4,-,0.7,0.8,0.1,-,6.95
"17Giovanni Fabbian21,  CO(C)","Giovanni Fabbian 21,  CO(C)",186,0,9(9),837,0.7,0.4,0.6,-,0.4,0.2,0.1,-,6.62
"18Oussama El Azzouzi22,  Cc(C)","Oussama El Azzouzi 22,  Cc(C)",189,82,2(10),295,0.6,0.4,0.7,0.1,0.7,0.3,0.2,-,6.35
"19Charalampos Lykogiannis30,  Di(CS),Cc(S)","Charalampos Lykogiannis 30,  Di(CS),Cc(S)",190,82,8(10),706,0.5,0.3,0.4,0.1,1.4,0.2,0.3,-,6.41
"20Jesper Karlsson25,  CO(SD),AC","Jesper Karlsson 25,  CO(SD),AC",171,70,4(2),324,0.5,0.5,0.3,-,0.2,1,-,-,6.45
"21Lorenzo De Silvestri35,  Di(D),Cc(D)","Lorenzo De Silvestri 35,  Di(D),Cc(D)",186,84,6(6),571,0.5,0.4,0.2,0.3,1.2,0.2,0.3,-,6.51
"22Nicolás Domínguez25,  Cc(CS)","Nicolás Domínguez 25,  Cc(CS)",179,73,1(1),101,0.5,-,1.5,-,1,1,-,-,5.93
"23Sydney van Hooijdonk24,  AC","Sydney van Hooijdonk 24,  AC",190,81,2(7),208,0.3,0.1,0.7,-,0.4,0.1,0.1,-,6.15
"24Lukasz Skorupski32,  POR","Lukasz Skorupski 32,  POR",187,84,24,2160,0.1,-,-,-,0.6,-,-,-,6.67
"25Federico Ravaglia24,  POR","Federico Ravaglia 24,  POR",196,88,3,270,-,-,-,-,0.3,-,-,-,6.79
"26Jens Odgaard24,  CO(CD),AC","Jens Odgaard 24,  CO(CD),AC",188,83,0(3),40,-,-,1,-,0.3,-,-,-,6.59
