Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Nicolas Haas28,  Cc(C)","Nicolas Haas 28,  Cc(C)",181,76,1,90,5,1,1,-,1,-,-,-,6.97
"2Youssef Maleh25,  Cc(C)","Youssef Maleh 25,  Cc(C)",179,70,23(1),1934,2.2,0.8,1.7,-,0.5,0.9,0.2,-,6.44
"3Szymon Zurkowski26,  CO(C)","Szymon Zurkowski 26,  CO(C)",185,79,5(1),453,2,0.7,1.3,-,1,0.5,-,-,7.08
"4Filippo Ranocchia22,  Cc(C)","Filippo Ranocchia 22,  Cc(C)",178,0,5(4),479,1.8,0.3,1.2,-,1.2,1,0.1,-,6.39
"5Jacopo Fazzini20,  CO(C)","Jacopo Fazzini 20,  CO(C)",178,0,10(12),871,1.7,0.4,0.6,-,0.5,0.9,-,-,6.47
"6Simone Bastoni27,  Di(S),MC,Cc(S)","Simone Bastoni 27,  Di(S),MC,Cc(S)",183,74,3(6),363,1.7,0.9,0.9,0.1,1.8,0.6,-,-,6.50
"7Bartosz Bereszynski31,  Di(CSD),Cc(D)","Bartosz Bereszynski 31,  Di(CSD),Cc(D)",183,77,12(1),873,1.6,0.7,0.7,0.1,1.6,0.5,0.2,-,6.43
"8Liberato Cacace23,  Di(S),Cc(S)","Liberato Cacace 23,  Di(S),Cc(S)",170,0,17(4),1588,1.6,0.7,1.1,0.1,1.6,0.5,0.1,-,6.56
"9Sebastian Walukiewicz23,  Di(C)","Sebastian Walukiewicz 23,  Di(C)",188,0,16(2),1415,1.6,0.7,0.8,0.6,4.9,0.3,0.9,-,6.60
"10Nicolò Cambiaghi23,  CO(CSD),AC","Nicolò Cambiaghi 23,  CO(CSD),AC",173,0,22(4),1920,1.4,0.4,1.5,-,0.2,0.6,-,-,6.55
"11Giuseppe Pezzella26,  Di(S),Cc(S)","Giuseppe Pezzella 26,  Di(S),Cc(S)",185,81,4(5),352,1.3,-,0.2,0.1,1,0.4,0.4,-,6.34
"12Matteo Cancellieri22,  CO(SD)","Matteo Cancellieri 22,  CO(SD)",180,0,14(12),1367,1.2,0.2,1,-,0.6,0.6,-,-,6.48
"13Sebastiano Luperto27,  Di(CS)","Sebastiano Luperto 27,  Di(CS)",191,75,27,2430,1,0.7,0.7,0.4,3.8,0.3,1,-,6.56
"14Razvan Marin27,  Cc(C)","Razvan Marin 27,  Cc(C)",178,70,13(8),1152,1,0.1,0.9,-,1,0.3,0.1,-,6.46
"15Tyronne Ebuehi28,  Di(SD)","Tyronne Ebuehi 28,  Di(SD)",187,76,11(3),1072,1,0.4,0.5,0.4,1.5,0.3,0.3,-,6.36
"16Ardian Ismajli27,  Di(C)","Ardian Ismajli 27,  Di(C)",185,76,18(3),1644,1,0.9,0.6,0.2,4.5,0.1,0.7,-,6.54
"17Emmanuel Gyasi30,  Cc(CSD),AC","Emmanuel Gyasi 30,  Cc(CSD),AC",181,70,10(12),962,0.9,0.1,1.2,-,0.6,0.3,0.3,-,6.23
"18Alberto Grassi28,  MC","Alberto Grassi 28,  MC",183,75,18(5),1536,0.8,1.7,0.9,-,1.2,0.6,0.4,1,6.52
"19Daniel Maldini22,  Forward","Daniel Maldini 22,  Forward",188,83,3(4),263,0.6,0.3,1.1,-,0.1,-,-,-,6.27
"20Roberto Piccoli23,  AC","Roberto Piccoli 23,  AC",187,78,0(2),36,0.5,-,0.5,-,-,-,-,-,5.98
"21Alberto Cerri27,  AC","Alberto Cerri 27,  AC",194,92,6(1),360,0.4,0.4,1.1,-,0.7,0.3,0.1,-,6.46
"22Viktor Kovalenko28,  Cc(C)","Viktor Kovalenko 28,  Cc(C)",182,75,4(9),499,0.4,0.1,0.3,-,0.5,0.5,0.2,-,6.36
"23Tommaso Baldanzi20,  CO(C)","Tommaso Baldanzi 20,  CO(C)",176,0,8(6),745,0.3,0.1,0.3,-,-,0.5,-,-,6.31
"24M'Baye Niang29,  CO(SD),AC","M'Baye Niang 29,  CO(SD),AC",184,75,0(4),132,0.3,0.3,1.3,-,0.3,-,-,-,6.74
"25Francesco Caputo36,  AC","Francesco Caputo 36,  AC",180,75,14(1),1107,0.1,0.1,0.5,-,0.1,0.1,-,-,6.35
"26Mattia Destro32,  AC","Mattia Destro 32,  AC",181,73,2(9),266,0.1,0.2,0.5,-,0.2,-,-,-,6.10
"27Elia Caprile22,  POR","Elia Caprile 22,  POR",191,74,12,1080,0.1,-,-,-,1.2,-,-,-,6.83
"28Andrea Sodero19,  Forward","Andrea Sodero 19,  Forward",0,0,0(1),4,-,-,-,-,-,-,-,-,5.99
"29Emmanuel Ekong21,  Forward","Emmanuel Ekong 21,  Forward",176,0,0(1),4,-,-,-,-,-,-,-,-,6.07
"30Etrit Berisha34,  POR","Etrit Berisha 34,  POR",194,82,14,1260,-,-,-,-,1.4,0.1,-,-,6.78
"31Giacomo Corona20,  Forward","Giacomo Corona 20,  Forward",0,0,0(1),4,-,-,1,-,-,-,-,-,6.02
"32Liam Henderson27,  CO(C)","Liam Henderson 27,  CO(C)",183,78,0(1),5,-,-,-,-,-,-,-,-,5.98
"33Samuele Perisan26,  POR","Samuele Perisan 26,  POR",192,75,1,90,-,-,-,-,-,-,-,-,5.76
"34Stiven Shpendi20,  Forward","Stiven Shpendi 20,  Forward",181,0,4(7),394,-,0.1,1.1,-,-,0.4,0.1,-,6.02
