Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Lucas Martínez27,  Di(C)","Lucas Martínez 27,  Di(C)",181,75,25(2),2173,3,1.8,0.8,0.5,2.8,0.7,0.7,-,7.08
"2Cristiano Biraghi31,  Di(S),Cc(S)","Cristiano Biraghi 31,  Di(S),Cc(S)",185,78,30(3),2556,2,0.4,0.9,0.4,1.2,1,0.2,1,6.92
"3Igor Julio26,  Di(CS),Cc(S)","Igor Julio 26,  Di(CS),Cc(S)",185,85,23(4),2060,1.6,0.9,1.1,0.7,2,0.3,0.5,-,6.47
"4Marco Benassi29,  Cc(CD)","Marco Benassi 29,  Cc(CD)",183,80,1(1),93,1.5,0.5,0.5,-,0.5,0.5,-,-,6.48
"5Nikola Milenkovic26,  Di(CD)","Nikola Milenkovic 26,  Di(CD)",195,90,23(4),2136,1.5,0.8,1.4,0.6,2.7,0.3,0.5,1,6.77
"6Rolando Mandragora26,  MC","Rolando Mandragora 26,  MC",183,76,22(7),1955,1.4,0.6,1.1,-,0.7,1,0.1,-,6.71
"7Sofyan Amrabat27,  Di(S),MC","Sofyan Amrabat 27,  Di(S),MC",183,82,24(5),2007,1.3,0.7,1.9,-,0.6,0.4,0.2,-,6.46
"8Dodô25,  Di(D)","Dodô 25,  Di(D)",166,68,28(5),2341,1.2,0.8,0.8,0.4,0.8,0.7,0.1,-,6.64
"9Giacomo Bonaventura34,  Cc(CSD)","Giacomo Bonaventura 34,  Cc(CSD)",180,75,21(9),1914,1.2,0.5,0.8,-,0.1,0.4,-,-,6.69
"10Lorenzo Venuti28,  Di(CSD),Cc(SD)","Lorenzo Venuti 28,  Di(CSD),Cc(SD)",176,65,9(8),923,1.1,0.3,0.4,0.1,0.9,0.4,0.1,-,6.32
"11Luca Ranieri24,  Di(CS),Cc(S)","Luca Ranieri 24,  Di(CS),Cc(S)",187,73,5(4),505,1,1.2,0.7,0.7,1.7,0.3,0.3,-,6.55
"12Christian Kouamé26,  CO(SD),AC","Christian Kouamé 26,  CO(SD),AC",188,70,22(6),1871,1,0.4,1.1,-,0.2,0.3,0.1,-,6.79
"13Aleksa Terzic24,  Di(S)","Aleksa Terzic 24,  Di(S)",184,79,8(14),929,0.7,0.2,0.2,0.1,0.7,0.5,0.2,-,6.58
"14Alfred Duncan30,  MC","Alfred Duncan 30,  MC",178,78,13(12),1107,0.7,0.3,1,-,0.2,0.4,-,-,6.40
"15Alessandro Bianco21,  Midfielder","Alessandro Bianco 21,  Midfielder",173,0,2(5),151,0.7,-,1,-,-,0.1,-,-,6.12
"16Nicolás González25,  Cc(CSD),AC","Nicolás González 25,  Cc(CSD),AC",180,72,13(11),1355,0.7,0.2,0.7,-,0.3,0.5,-,-,6.79
"17Antonín Barák29,  CO(CD)","Antonín Barák 29,  CO(CD)",190,86,21(9),1807,0.7,0.1,0.4,-,0.4,0.3,0.1,-,6.38
"18Gaetano Castrovilli27,  CO(C)","Gaetano Castrovilli 27,  CO(C)",176,71,7(8),717,0.7,0.5,0.8,-,0.3,0.5,0.1,-,6.54
"19Jonathan Ikoné25,  CO(CSD),AC","Jonathan Ikoné 25,  CO(CSD),AC",175,67,24(9),2012,0.5,0.1,0.8,-,-,0.3,-,-,6.58
"20Youssef Maleh25,  Cc(C)","Youssef Maleh 25,  Cc(C)",179,70,4(3),299,0.4,0.1,1.1,-,0.3,0.6,-,-,6.13
"21Riccardo Saponara32,  CO(CSD)","Riccardo Saponara 32,  CO(CSD)",184,73,14(15),1207,0.3,0.2,0.5,-,0.3,0.1,-,-,6.47
"22Josip Brekalo25,  CO(CSD),AC","Josip Brekalo 25,  CO(CSD),AC",175,70,1(5),228,0.3,0.2,0.5,-,0.2,0.5,-,-,6.49
"23Pierluigi Gollini28,  POR","Pierluigi Gollini 28,  POR",194,94,3,270,0.3,-,-,0.3,1,-,-,-,6.91
"24Arthur Cabral25,  AC","Arthur Cabral 25,  AC",186,86,15(13),1433,0.3,-,0.9,-,0.4,0.1,-,-,6.61
"25Riccardo Sottil24,  CO(SD)","Riccardo Sottil 24,  CO(SD)",180,75,9(9),834,0.2,-,0.2,-,-,0.2,-,-,6.39
"26Luka Jovic26,  AC","Luka Jovic 26,  AC",181,78,16(15),1529,0.2,0.1,0.7,-,0.3,0.2,0.1,-,6.53
"27Pietro Terracciano33,  POR","Pietro Terracciano 33,  POR",193,85,29,2610,0.1,-,0.1,-,0.8,-,-,-,6.51
"28Michele Cerofolini25,  POR","Michele Cerofolini 25,  POR",188,80,5,450,-,0.2,-,-,0.4,-,-,-,6.72
"29Salvatore Sirigu37,  POR","Salvatore Sirigu 37,  POR",192,80,1,90,-,-,-,-,1,-,-,-,7.63
"30Szymon Zurkowski26,  CO(C)","Szymon Zurkowski 26,  CO(C)",185,79,0(2),30,-,-,0.5,-,-,-,-,-,6.25
