Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Morten Frendrup22,  Di(D),MC","Morten Frendrup 22,  Di(D),MC",178,63,25(1),2225,3.8,1.2,1.5,-,0.8,0.9,0.3,-,6.79
"2Davide Biraschi29,  Di(CD),Cc(D)","Davide Biraschi 29,  Di(CD),Cc(D)",182,73,1,90,3,2,-,-,3,2,-,-,7.23
"3Milan Badelj35,  Cc(C)","Milan Badelj 35,  Cc(C)",186,76,23,1826,1.7,1.7,0.8,-,1.5,1,0.3,-,6.73
"4Kevin Strootman34,  MC","Kevin Strootman 34,  MC",186,78,12(6),914,1.7,0.2,0.7,-,0.8,0.8,0.3,-,6.51
"5Johan Vásquez25,  Di(CS)","Johan Vásquez 25,  Di(CS)",184,78,22(5),1970,1.6,1.1,0.9,0.2,2.6,0.4,0.7,-,6.68
"6Stefano Sabelli31,  Di(D),Cc(D)","Stefano Sabelli 31,  Di(D),Cc(D)",176,70,23(1),1969,1.5,0.8,1.2,0.1,1.1,1,0.2,-,6.41
"7Junior Messias32,  Cc(CD),AC","Junior Messias 32,  Cc(CD),AC",174,70,8(5),653,1.5,0.2,0.3,0.1,1,0.5,0.1,-,6.67
"8Koni De Winter21,  Di(C)","Koni De Winter 21,  Di(C)",188,0,17(3),1572,1.5,0.9,1.1,0.6,2.7,0.4,0.2,-,6.49
"9Ruslan Malinovskyi30,  Cc(CSD),AC","Ruslan Malinovskyi 30,  Cc(CSD),AC",181,79,17(6),1395,1.3,0.1,1.3,-,0.6,1,0.3,-,6.51
"10Berkan Kutlu26,  Di(S),MC","Berkan Kutlu 26,  Di(S),MC",186,75,0(6),193,1,0.7,0.7,-,0.7,0.5,-,-,6.40
"11Silvan Hefti26,  Di(D),Cc(D)","Silvan Hefti 26,  Di(D),Cc(D)",182,76,1(5),110,1,-,0.3,-,0.2,0.5,-,-,5.95
"12Mattia Bani30,  Di(C)","Mattia Bani 30,  Di(C)",188,80,22,1865,1,0.8,0.6,0.5,4.2,0.5,1.2,-,6.59
"13Aarón Martín26,  Di(S),Cc(S)","Aarón Martín 26,  Di(S),Cc(S)",180,72,10(5),823,0.9,0.4,0.9,0.2,0.4,0.6,0.1,-,6.26
"14Radu Dragusin22,  Di(C)","Radu Dragusin 22,  Di(C)",191,0,19,1710,0.8,1.1,0.7,0.5,4.6,0.1,0.6,-,6.75
"15Alessandro Vogliacco25,  Di(C)","Alessandro Vogliacco 25,  Di(C)",186,0,6(6),567,0.8,1.4,0.5,0.3,1.5,0.2,0.3,-,6.39
"16Morten Thorsby27,  Cc(CSD)","Morten Thorsby 27,  Cc(CSD)",188,72,5(9),674,0.8,0.3,1.4,-,0.6,0.3,0.1,-,6.34
"17Albert Gudmundsson26,  CO(CSD),AC","Albert Gudmundsson 26,  CO(CSD),AC",177,80,25,2240,0.7,0.4,0.8,-,0.2,0.7,0.1,-,7.16
"18Djed Spence23,  Di(D),Cc(D)","Djed Spence 23,  Di(D),Cc(D)",185,0,3(2),265,0.6,0.6,0.8,0.2,0.6,-,0.2,-,6.46
"19Mateo Retegui24,  AC","Mateo Retegui 24,  AC",185,84,18(2),1526,0.6,-,1.2,-,0.7,0.5,0.1,-,6.69
"20Vítinha23,  AC","Vítinha 23,  AC",178,74,0(4),48,0.5,-,0.5,-,0.5,-,-,-,6.07
"21Ridgeciano Haps30,  Di(S),Cc(S)","Ridgeciano Haps 30,  Di(S),Cc(S)",175,74,6(5),574,0.4,0.5,0.2,0.1,0.5,0.1,-,-,6.16
"22Caleb Ekuban29,  CO(CSD),AC","Caleb Ekuban 29,  CO(CSD),AC",188,80,5(16),713,0.3,-,0.5,-,0.3,0.1,0.1,-,6.36
"23Alan Matturro19,  Defender","Alan Matturro 19,  Defender",189,74,1(4),90,0.2,0.4,-,-,0.6,-,0.2,1,6.05
"24Emil Bohinen24,  MC","Emil Bohinen 24,  MC",189,0,0(1),1,-,-,-,-,-,-,-,-,6.00
"25Filip Jagiello26,  Cc(C)","Filip Jagiello 26,  Cc(C)",180,70,0(2),32,-,0.5,-,-,-,0.5,0.5,-,6.10
"26George Puscas27,  AC","George Puscas 27,  AC",188,77,1(7),185,-,-,0.1,-,0.1,0.4,-,-,6.04
"27Giorgio Cittadini21,  Defender","Giorgio Cittadini 21,  Defender",193,72,0(1),1,-,-,-,-,2,-,-,-,6.00
"28Josep Martínez25,  POR","Josep Martínez 25,  POR",191,78,26,2340,-,-,0.1,-,1.3,-,-,-,6.69
"29Nicola Leali31,  POR","Nicola Leali 31,  POR",195,80,1(1),91,-,-,-,-,-,-,-,-,6.70
"30Pablo Galdames27,  Cc(C)","Pablo Galdames 27,  Cc(C)",175,68,0(2),9,-,-,0.5,-,-,-,-,-,6.02
"31Seydou Fini17,  Forward","Seydou Fini 17,  Forward",178,0,0(3),33,-,-,-,-,-,-,-,-,5.95
