Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Henrikh Mkhitaryan35,  Cc(CSD),AC","Henrikh Mkhitaryan 35,  Cc(CSD),AC",177,75,25(1),2070,2,0.9,1.1,0.1,1,0.7,0.1,-,7.08
"2Hakan Çalhanoglu30,  Cc(CSD),AC","Hakan Çalhanoglu 30,  Cc(CSD),AC",178,76,23,1879,1.9,0.5,1.8,-,0.7,0.7,0.3,-,7.45
"3Alessandro Bastoni24,  Di(C)","Alessandro Bastoni 24,  Di(C)",190,75,20,1648,1.6,1,1.2,0.2,1.7,0.7,0.4,-,7.15
"4Benjamin Pavard27,  Di(CSD),Cc(D)","Benjamin Pavard 27,  Di(CSD),Cc(D)",186,76,13(2),1020,1.6,1.3,0.5,0.4,1.5,0.2,0.7,-,6.89
"5Matteo Darmian34,  Di(CSD),Cc(SD)","Matteo Darmian 34,  Di(CSD),Cc(SD)",182,70,19(4),1726,1.6,0.4,0.8,-,1.6,1,0.4,-,6.72
"6Federico Dimarco26,  Di(CS),Cc(S)","Federico Dimarco 26,  Di(CS),Cc(S)",175,75,20(1),1452,1.3,0.4,0.3,-,1,0.6,0.1,-,7.21
"7Nicolò Barella27,  CO(C)","Nicolò Barella 27,  CO(C)",175,68,23(2),1947,1.3,0.2,0.8,-,0.2,1.4,-,-,6.88
"8Denzel Dumfries27,  Di(D),Cc(D)","Denzel Dumfries 27,  Di(D),Cc(D)",188,80,15(6),1297,0.9,0.4,0.9,-,0.9,0.5,0.3,-,6.92
"9Francesco Acerbi36,  Di(C)","Francesco Acerbi 36,  Di(C)",192,88,18(2),1642,0.9,1.2,0.7,0.4,2.5,0.2,0.4,-,7.04
"10Lautaro Martínez26,  AC","Lautaro Martínez 26,  AC",174,72,23(1),1960,0.8,0.8,1.5,-,0.3,0.3,-,-,7.76
"11Stefan de Vrij32,  Di(C)","Stefan de Vrij 32,  Di(C)",190,78,13(7),1216,0.8,0.9,0.4,0.3,1.8,0.3,0.3,-,6.81
"12Yann Bisseck23,  Di(C)","Yann Bisseck 23,  Di(C)",196,83,5(5),477,0.7,-,0.2,0.2,1.1,0.2,0.1,-,6.68
"13Carlos Augusto25,  Di(CS),Cc(S)","Carlos Augusto 25,  Di(CS),Cc(S)",184,78,7(19),1046,0.7,0.3,0.4,0.1,1,0.2,0.2,-,6.67
"14Marcus Thuram26,  CO(S),AC","Marcus Thuram 26,  CO(S),AC",192,90,24,1842,0.6,0.2,0.9,-,0.5,0.3,0.1,-,7.36
"15Juan Cuadrado35,  Di(D),Cc(CSD),AC","Juan Cuadrado 35,  Di(D),Cc(CSD),AC",179,72,0(7),149,0.4,-,0.3,-,-,0.1,0.1,-,6.45
"16Davy Klaassen31,  Cc(CS)","Davy Klaassen 31,  Cc(CS)",179,70,1(9),145,0.4,0.2,0.2,-,0.2,-,-,-,6.19
"17Marko Arnautovic34,  CO(CSD),AC","Marko Arnautovic 34,  CO(CSD),AC",192,83,3(16),554,0.4,0.2,0.6,-,0.2,0.1,0.1,-,6.45
"18Kristjan Asllani21,  MC","Kristjan Asllani 21,  MC",175,0,3(12),414,0.3,0.5,0.2,-,0.3,0.3,0.1,-,6.47
"19Davide Frattesi24,  MC","Davide Frattesi 24,  MC",178,74,3(18),543,0.2,0.1,0.2,-,0.4,0.1,-,-,6.48
"20Alexis Sánchez35,  Cc(CSD),AC","Alexis Sánchez 35,  Cc(CSD),AC",169,62,2(11),316,0.2,0.1,0.5,-,0.2,-,-,-,6.38
"21Yann Sommer35,  POR","Yann Sommer 35,  POR",183,79,25,2250,0.1,-,-,-,0.4,-,-,-,6.87
"22Ebenezer Akinsanmiro19,  Midfielder","Ebenezer Akinsanmiro 19,  Midfielder",169,0,0(1),14,-,-,-,-,-,1,-,-,6.12
"23Emil Audero27,  POR","Emil Audero 27,  POR",190,83,1,90,-,-,-,-,1,-,-,-,7.15
"24Lucien Agoumé22,  MC","Lucien Agoumé 22,  MC",185,72,0(1),4,-,-,-,-,-,-,-,-,6.21
"25Stefano Sensi28,  CO(C)","Stefano Sensi 28,  CO(C)",168,62,0(3),28,-,0.3,-,-,-,0.3,-,-,6.25
"26Tajon Buchanan25,  Di(D),Cc(CSD)","Tajon Buchanan 25,  Di(D),Cc(CSD)",183,68,0(2),27,-,-,0.5,-,-,-,-,-,6.13
