Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Felipe Anderson30,  Cc(CSD),AC","Felipe Anderson 30,  Cc(CSD),AC",175,70,24(3),2029,2.1,0.8,0.8,-,0.7,1.7,0.1,-,6.85
"2Nicolò Rovella22,  MC","Nicolò Rovella 22,  MC",179,66,14(4),1166,2.1,1.2,1.7,-,1.1,1,0.3,-,6.65
"3Daichi Kamada27,  CO(CSD),AC","Daichi Kamada 27,  CO(CSD),AC",184,76,8(10),756,1.6,0.3,1,-,0.3,0.7,0.2,-,6.42
"4Mario Gila23,  Di(C)","Mario Gila 23,  Di(C)",185,74,14,1202,1.4,0.9,0.9,0.3,3.5,0.7,0.6,-,6.65
"5Elseid Hysaj30,  Di(SD),Cc(D)","Elseid Hysaj 30,  Di(SD),Cc(D)",182,75,7(7),712,1.2,0.6,0.6,0.2,1.7,0.5,0.4,-,6.36
"6Adam Marusic31,  Di(CSD),Cc(SD)","Adam Marusic 31,  Di(CSD),Cc(SD)",185,76,27,2251,1.2,0.9,0.5,0.1,1.7,0.6,0.3,-,6.41
"7Luis Alberto31,  CO(CS),AC","Luis Alberto 31,  CO(CS),AC",182,70,23(1),1799,1.1,0.2,0.5,-,0.3,1.1,0.2,-,6.80
"8Mattéo Guendouzi24,  Cc(C)","Mattéo Guendouzi 24,  Cc(C)",185,68,22(3),1875,1.1,0.6,0.8,-,0.7,1,0.2,-,6.50
"9Manuel Lazzari30,  Di(D),Cc(D)","Manuel Lazzari 30,  Di(D),Cc(D)",174,67,15(3),1306,1.1,0.6,0.4,0.1,1.3,0.4,0.2,-,6.55
"10Luca Pellegrini24,  Di(S),Cc(S)","Luca Pellegrini 24,  Di(S),Cc(S)",178,72,5(10),589,1.1,0.4,1,0.1,0.8,0.5,0.2,-,6.38
"11Danilo Cataldi29,  Cc(C)","Danilo Cataldi 29,  Cc(C)",180,70,12(8),1095,1,0.7,0.8,-,0.8,0.3,0.3,-,6.48
"12Alessio Romagnoli29,  Di(CS)","Alessio Romagnoli 29,  Di(CS)",185,75,18(2),1689,1,0.8,1.2,0.3,4,0.3,0.8,-,6.69
"13Mattia Zaccagni28,  CO(CS),AC","Mattia Zaccagni 28,  CO(CS),AC",177,63,17(3),1413,0.9,0.8,1.3,-,0.4,0.4,0.1,-,6.92
"14Patric30,  Di(CD),Cc(D)","Patric 30,  Di(CD),Cc(D)",184,72,13,1025,0.7,0.4,0.5,0.2,2,0.5,0.4,-,6.53
"15Nicolò Casale26,  Di(C)","Nicolò Casale 26,  Di(C)",191,84,9(3),944,0.7,0.4,0.9,0.5,3.3,0.6,0.8,-,6.38
"16Valentín Castellanos25,  CO(D),AC","Valentín Castellanos 25,  CO(D),AC",178,70,10(14),1062,0.7,-,1,-,0.4,0.3,0.1,-,6.54
"17Matías Vecino32,  Cc(C)","Matías Vecino 32,  Cc(C)",187,81,2(18),566,0.7,0.3,0.9,-,0.4,0.4,0.2,-,6.38
"18Pedro36,  Cc(CSD),AC","Pedro 36,  Cc(CSD),AC",169,65,4(20),604,0.6,0.1,0.4,-,-,0.3,-,-,6.26
"19Ciro Immobile34,  AC","Ciro Immobile 34,  AC",185,78,16(7),1316,0.3,0.2,0.7,-,0.3,0.3,0.1,-,6.47
"20Gustav Isaksen22,  CO(D)","Gustav Isaksen 22,  CO(D)",178,68,10(12),875,0.2,0.1,0.5,-,-,0.4,-,-,6.33
"21Ivan Provedel29,  POR","Ivan Provedel 29,  POR",192,82,27,2430,-,-,-,-,0.6,0.1,-,-,6.75
