Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Davide Calabria27,  Di(SD),Cc(D)","Davide Calabria 27,  Di(SD),Cc(D)",177,70,20(3),1656,2,0.9,0.7,0.2,1.5,1,0.2,-,6.62
"2Matteo Gabbia24,  Di(C)","Matteo Gabbia 24,  Di(C)",185,78,8(1),717,1.9,0.7,1.9,0.3,3,0.3,0.3,-,6.70
"3Fikayo Tomori26,  Di(CD)","Fikayo Tomori 26,  Di(CD)",185,75,16(1),1395,1.8,1.1,0.9,0.5,2.5,0.5,0.9,-,6.84
"4Yacine Adli23,  Cc(C)","Yacine Adli 23,  Cc(C)",186,73,13(4),1069,1.6,1.1,1.2,-,0.8,1.1,0.4,-,6.79
"5Tommaso Pobega24,  Cc(C)","Tommaso Pobega 24,  Cc(C)",188,75,3(6),295,1.6,0.7,0.9,-,0.8,0.6,0.2,-,6.46
"6Alessandro Florenzi32,  Di(SD),Cc(CSD)","Alessandro Florenzi 32,  Di(SD),Cc(CSD)",173,67,13(11),1199,1.5,0.6,0.4,-,0.6,0.9,0.3,-,6.54
"7Tijjani Reijnders25,  Cc(C)","Tijjani Reijnders 25,  Cc(C)",185,73,23(2),2000,1.3,0.4,0.5,-,0.7,0.6,0.2,-,6.85
"8Simon Kjær34,  Di(C)","Simon Kjær 34,  Di(C)",190,86,13(3),1080,1.3,0.9,0.5,0.2,2.8,0.4,1,-,6.71
"9Malick Thiaw22,  Di(C)","Malick Thiaw 22,  Di(C)",191,80,13(1),1116,1.3,0.6,1.3,0.2,2.6,0.5,0.6,-,6.58
"10Ismaël Bennacer26,  Cc(C)","Ismaël Bennacer 26,  Cc(C)",175,70,6(4),488,1.2,0.4,0.7,-,0.4,0.6,-,-,6.47
"11Théo Hernández26,  Di(CS),Cc(S)","Théo Hernández 26,  Di(CS),Cc(S)",184,81,24,2150,1,0.6,1.2,0.2,1.3,0.4,0.5,-,6.90
"12Chaka Traorè19,  Forward","Chaka Traorè 19,  Forward",175,0,0(2),18,1,-,0.5,-,-,0.5,0.5,-,6.61
"13Christian Pulisic25,  Cc(CSD),AC","Christian Pulisic 25,  Cc(CSD),AC",177,69,23(2),1855,1,0.4,0.7,-,0.2,0.3,-,-,7.14
"14Marco Pellegrino21,  Di(C)","Marco Pellegrino 21,  Di(C)",184,79,0(1),68,1,1,-,-,2,2,1,-,6.62
"15Pierre Kalulu23,  Di(CD)","Pierre Kalulu 23,  Di(CD)",179,69,1(3),108,1,0.3,0.3,0.3,1.5,0.3,0.5,-,6.23
"16Rade Krunic30,  Cc(CS)","Rade Krunic 30,  Cc(CS)",184,74,8(2),688,1,1.1,1,-,1.4,0.5,0.3,-,6.55
"17Samuel Chukwueze24,  CO(CD)","Samuel Chukwueze 24,  CO(CD)",172,70,7(8),588,1,0.3,0.3,-,0.1,0.5,0.1,-,6.34
"18Ruben Loftus-Cheek28,  Cc(CSD)","Ruben Loftus-Cheek 28,  Cc(CSD)",191,88,20(3),1630,0.9,0.2,1.4,-,0.3,0.4,0.5,-,6.92
"19Yunus Musah21,  Cc(CD)","Yunus Musah 21,  Cc(CD)",178,75,8(13),980,0.7,0.4,0.7,-,0.4,0.2,0.2,-,6.33
"20Álex Jiménez18,  Defender","Álex Jiménez 18,  Defender",171,0,0(3),65,0.7,-,0.7,-,1,1,-,-,6.17
"21Olivier Giroud37,  AC","Olivier Giroud 37,  AC",193,91,22(2),1811,0.5,0.2,1.1,-,0.8,0.3,0.1,-,7.07
"22Rafael Leão24,  CO(CS),AC","Rafael Leão 24,  CO(CS),AC",188,81,21(3),1812,0.5,0.3,0.7,-,0.4,0.1,-,-,7.20
"23Luka Jovic26,  AC","Luka Jovic 26,  AC",181,78,5(12),578,0.3,-,0.4,-,0.5,0.1,-,-,6.41
"24Jan-Carlo Simic18,  Defender","Jan-Carlo Simic 18,  Defender",186,0,0(4),143,0.3,-,0.5,0.3,0.8,-,1,-,6.52
"25Davide Bartesaghi18,  Defender","Davide Bartesaghi 18,  Defender",193,0,0(5),66,0.2,-,0.2,-,0.6,0.4,0.2,-,6.10
"26Noah Okafor23,  AC","Noah Okafor 23,  AC",185,85,3(16),511,0.2,-,0.4,-,0.4,0.2,-,-,6.35
"27Mike Maignan28,  POR","Mike Maignan 28,  POR",191,89,24,2160,-,-,-,-,0.5,-,-,-,6.70
"28Antonio Mirante40,  POR","Antonio Mirante 40,  POR",193,79,1,90,-,-,-,-,1,-,-,-,6.70
"29Filippo Terracciano21,  Di(S),Cc(D)","Filippo Terracciano 21,  Di(S),Cc(D)",180,68,0(1),3,-,-,1,-,-,1,-,-,5.32
"30Francesco Camarda15,  Forward","Francesco Camarda 15,  Forward",0,0,0(2),12,-,-,-,-,-,1,-,-,5.95
"31Kevin Zeroli19,  Midfielder","Kevin Zeroli 19,  Midfielder",0,0,0(2),17,-,-,-,-,-,-,-,-,6.00
"32Luka Romero19,  Midfielder","Luka Romero 19,  Midfielder",165,0,0(4),86,-,-,0.8,-,-,0.8,-,-,5.92
"33Marco Sportiello31,  POR","Marco Sportiello 31,  POR",192,87,2,180,-,-,-,-,0.5,-,-,-,7.02
