Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Danilo D'Ambrosio35,  Di(CSD),Cc(SD)","Danilo D'Ambrosio 35,  Di(CSD),Cc(SD)",180,75,15(4),1362,2.7,0.6,0.8,0.2,1.6,0.6,0.6,-,6.64
"2Roberto Gagliardini29,  MC","Roberto Gagliardini 29,  MC",190,77,24(1),1928,2,1.1,0.9,0.2,1.2,0.6,0.3,-,6.81
"3Andrea Carboni23,  Di(C)","Andrea Carboni 23,  Di(C)",187,70,12(5),1186,1.8,0.6,0.6,0.2,2.4,0.5,0.7,-,6.63
"4Matteo Pessina26,  Cc(CD)","Matteo Pessina 26,  Cc(CD)",187,77,27,2350,1.4,0.8,0.8,-,1,0.8,0.3,-,6.68
"5Patrick Ciurria29,  Cc(CSD)","Patrick Ciurria 29,  Cc(CSD)",178,67,18(3),1566,1.4,0.4,1.4,0.2,1.1,0.3,0.2,-,6.65
"6Pablo Marí30,  Di(C)","Pablo Marí 30,  Di(C)",193,87,19(4),1645,1.3,0.8,1,0.2,2.6,0.3,0.7,-,6.56
"7Armando Izzo32,  Di(C)","Armando Izzo 32,  Di(C)",183,78,9(3),730,1.2,1,1.4,0.2,1.8,0.5,0.3,-,6.51
"8Alessio Zerbin25,  Forward","Alessio Zerbin 25,  Forward",182,80,1(2),116,1,0.7,1.3,-,0.7,0.3,0.3,-,6.52
"9Giorgio Cittadini21,  Defender","Giorgio Cittadini 21,  Defender",193,72,0(1),14,1,-,1,-,-,-,1,-,6.15
"10Luca Caldirola33,  Di(CS)","Luca Caldirola 33,  Di(CS)",186,79,22(1),1946,1,1.2,0.9,0.2,1.9,0.4,0.7,-,6.42
"11Warren Bondo20,  Cc(C)","Warren Bondo 20,  Cc(C)",177,63,6(9),727,0.9,0.4,1.3,0.1,0.4,0.1,0.1,-,6.31
"12Lorenzo Colombo21,  AC","Lorenzo Colombo 21,  AC",186,74,15(6),1282,0.8,-,1,-,0.6,0.3,0.2,-,6.44
"13Giorgos Kyriakopoulos28,  Di(S),Cc(S)","Giorgos Kyriakopoulos 28,  Di(S),Cc(S)",178,74,15(5),1343,0.8,0.6,0.7,0.2,0.6,0.5,-,-,6.51
"14Jean-Daniel Akpa Akpro31,  Di(D),Cc(CSD)","Jean-Daniel Akpa Akpro 31,  Di(D),Cc(CSD)",180,70,3(9),312,0.8,0.5,0.7,-,0.3,0.3,0.2,-,6.19
"15Samuele Birindelli24,  Cc(D)","Samuele Birindelli 24,  Cc(D)",175,68,11(13),1154,0.8,0.5,0.7,0.1,0.9,0.3,0.3,-,6.45
"16Pedro Pereira26,  Di(D),Cc(SD)","Pedro Pereira 26,  Di(D),Cc(SD)",185,77,8(9),663,0.7,0.2,0.5,-,0.8,0.5,0.1,-,6.25
"17José Machín27,  CO(C)","José Machín 27,  CO(C)",184,74,2(7),231,0.7,-,0.2,-,0.4,0.2,0.2,-,6.13
"18Andrea Colpani24,  CO(C)","Andrea Colpani 24,  CO(C)",184,69,26(1),1912,0.6,0.4,0.7,-,0.3,0.1,0.1,-,6.76
"19Samuele Vignato20,  Forward","Samuele Vignato 20,  Forward",172,62,3(7),340,0.6,0.1,0.4,-,-,0.1,-,-,6.33
"20Valentín Carboni18,  CO(C)","Valentín Carboni 18,  CO(C)",185,78,7(13),787,0.6,0.3,0.7,-,0.2,0.5,0.1,-,6.42
"21Gianluca Caprari30,  CO(CSD),AC","Gianluca Caprari 30,  CO(CSD),AC",176,72,4,259,0.5,0.5,0.5,-,-,0.3,-,-,6.38
"22Milan Djuric33,  AC","Milan Djuric 33,  AC",198,94,4(2),392,0.5,-,1.5,-,0.8,0.2,0.2,-,6.79
"23Dany Mota25,  CO(C),AC","Dany Mota 25,  CO(C),AC",180,74,18(8),1622,0.5,0.1,0.7,-,0.5,0.3,-,-,6.51
"24Mirko Maric28,  Forward","Mirko Maric 28,  Forward",188,77,2(9),280,0.4,0.2,0.4,-,0.3,0.2,-,-,6.21
"25Daniel Maldini22,  Forward","Daniel Maldini 22,  Forward",188,83,0(4),72,0.3,-,-,-,-,0.3,-,-,6.79
"26Michele Di Gregorio26,  POR","Michele Di Gregorio 26,  POR",187,82,24,2064,-,-,-,-,0.7,-,-,-,7.07
"27Papu Gómez36,  Cc(CSD),AC","Papu Gómez 36,  Cc(CSD),AC",167,68,0(2),39,-,0.5,-,-,-,1,-,-,6.18
"28Alessandro Sorrentino21,  Goalkeeper","Alessandro Sorrentino 21,  Goalkeeper",190,78,3(2),366,-,-,-,-,0.2,-,-,-,6.20
"29Davide Bettella23,  Defender","Davide Bettella 23,  Defender",185,75,0(1),3,-,-,-,-,-,-,-,-,5.99
"30Giulio Donati34,  Di(CSD),Cc(D)","Giulio Donati 34,  Di(CSD),Cc(D)",178,76,0(3),13,-,-,0.3,-,-,-,-,-,6.05
