Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Stanislav Lobotka29,  MC","Stanislav Lobotka 29,  MC",170,68,34(4),3113,2.2,0.6,0.7,-,0.4,0.8,0.2,-,6.87
"2Giovanni Di Lorenzo30,  Di(CSD),Cc(D)","Giovanni Di Lorenzo 30,  Di(CSD),Cc(D)",183,83,36(1),3257,1.6,0.8,0.8,0.2,1.4,0.6,0.2,-,7.04
"3Kim Min-Jae27,  Di(C)","Kim Min-Jae 27,  Di(C)",190,88,35,3055,1.6,1.2,0.9,0.6,3.5,0.1,0.7,-,7.07
"4Mário Rui32,  Di(S),Cc(S)","Mário Rui 32,  Di(S),Cc(S)",170,67,21(1),1763,1.5,0.7,0.9,0.1,0.8,1,0.2,-,7.09
"5Frank Anguissa28,  Cc(C)","Frank Anguissa 28,  Cc(C)",184,78,36,3062,1.5,1.4,1.2,-,0.7,1.3,0.1,-,7.03
"6Mathías Olivera26,  Di(S),Cc(S)","Mathías Olivera 26,  Di(S),Cc(S)",184,78,17(13),1637,1.3,0.7,0.7,0.2,0.8,0.7,0.1,-,6.66
"7Khvicha Kvaratskhelia23,  CO(CSD),AC","Khvicha Kvaratskhelia 23,  CO(CSD),AC",183,70,30(4),2541,1.3,0.1,0.6,-,0.2,0.8,-,-,7.43
"8Amir Rrahmani30,  Di(CS)","Amir Rrahmani 30,  Di(CS)",192,87,27(2),2450,1.1,0.5,0.8,0.2,2.6,0.3,0.7,-,6.87
"9Juan Jesus32,  Di(CS)","Juan Jesus 32,  Di(CS)",185,83,10(5),929,1.1,0.7,0.7,0.3,1.9,0.2,0.7,-,6.77
"10Alessandro Zanoli23,  Di(D),Cc(D)","Alessandro Zanoli 23,  Di(D),Cc(D)",188,74,0(1),11,1,-,-,-,-,-,-,-,6.31
"11Alessio Zerbin25,  Forward","Alessio Zerbin 25,  Forward",182,80,2(8),193,1,0.2,0.9,-,0.2,0.4,-,-,6.21
"12Bartosz Bereszynski31,  Di(CSD),Cc(D)","Bartosz Bereszynski 31,  Di(CSD),Cc(D)",183,77,2(1),165,1,1,0.7,0.3,1,-,-,-,6.50
"13Hirving Lozano28,  CO(SD),AC","Hirving Lozano 28,  CO(SD),AC",175,70,20(12),1614,0.8,0.5,0.8,-,0.1,0.4,-,-,6.77
"14Eljif Elmas24,  Cc(CSD),AC","Eljif Elmas 24,  Cc(CSD),AC",184,78,14(22),1618,0.7,0.3,0.6,-,0.1,0.3,0.1,-,6.64
"15Matteo Politano30,  CO(CSD),AC","Matteo Politano 30,  CO(CSD),AC",171,67,14(13),1168,0.7,0.3,0.4,-,0.2,0.5,-,-,6.60
"16Gianluca Gaetano23,  Midfielder","Gianluca Gaetano 23,  Midfielder",181,71,0(8),65,0.6,0.1,0.3,-,-,-,-,-,6.34
"17Leo Østigård24,  Di(C)","Leo Østigård 24,  Di(C)",182,81,4(3),417,0.6,0.9,0.3,0.1,2.4,-,0.4,-,6.80
"18Giovanni Simeone28,  CO(D),AC","Giovanni Simeone 28,  CO(D),AC",180,81,1(24),389,0.5,-,0.3,-,0.2,0.2,-,-,6.28
"19Tanguy Ndombélé27,  Cc(C)","Tanguy Ndombélé 27,  Cc(C)",181,76,8(22),793,0.5,0.2,0.5,-,0.2,0.1,-,-,6.24
"20Piotr Zielinski29,  Cc(CSD)","Piotr Zielinski 29,  Cc(CSD)",180,76,27(10),2306,0.5,0.4,0.6,-,0.2,0.4,0.1,-,6.93
"21Giacomo Raspadori24,  CO(CS),AC","Giacomo Raspadori 24,  CO(CS),AC",172,69,10(15),903,0.4,0.2,0.3,-,0.1,0.2,-,-,6.44
"22Victor Osimhen25,  AC","Victor Osimhen 25,  AC",185,78,30(2),2583,0.3,0.2,1.3,-,0.9,0.2,-,-,7.45
"23Diego Demme32,  MC","Diego Demme 32,  MC",172,71,2(5),144,0.1,-,0.3,-,0.1,0.6,-,-,6.17
"24Adam Ounas27,  CO(CSD),AC","Adam Ounas 27,  CO(CSD),AC",172,65,0(2),13,-,0.5,-,-,-,-,-,-,6.35
"25Alex Meret26,  POR","Alex Meret 26,  POR",190,82,34,3060,-,-,-,-,0.4,-,-,-,6.69
"26Karim Zedadka23,  Midfielder","Karim Zedadka 23,  Midfielder",182,67,0(3),19,-,-,-,-,0.3,-,-,-,6.04
"27Pierluigi Gollini28,  POR","Pierluigi Gollini 28,  POR",194,94,4,360,-,-,-,-,0.3,-,-,-,6.87
