Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Bryan Cristante29,  Di(C),Cc(C)","Bryan Cristante 29,  Di(C),Cc(C)",186,80,14(1),1309,2.6,1.2,1.5,0.1,1.5,1.4,0.3,-,7.17
"2Nemanja Matic35,  MC","Nemanja Matic 35,  MC",194,85,13,1143,2.3,1.7,0.8,-,1.2,1.1,0.6,-,7.03
"3Ibañez25,  Di(C)","Ibañez 25,  Di(C)",185,73,12(1),1115,1.5,2.2,1.1,0.1,3.4,0.5,0.9,-,6.86
"4Lorenzo Pellegrini27,  Cc(CS)","Lorenzo Pellegrini 27,  Cc(CS)",186,77,14,1169,1.5,0.6,1.1,-,1,0.9,0.3,-,7.28
"5Matías Viña26,  Di(S),Cc(S)","Matías Viña 26,  Di(S),Cc(S)",175,70,3(1),245,1.3,1.3,0.5,-,0.8,0.3,-,-,6.59
"6Nicola Zalewski22,  Cc(SD)","Nicola Zalewski 22,  Cc(SD)",164,68,8(4),859,1.3,1.3,0.4,0.1,0.8,1.5,0.1,-,6.52
"7Gianluca Mancini27,  Di(C),MC","Gianluca Mancini 27,  Di(C),MC",190,77,14,1306,1.1,1.1,1.4,0.1,2.4,0.1,0.4,1,6.67
"8Chris Smalling34,  Di(CD)","Chris Smalling 34,  Di(CD)",194,81,12(2),1156,1,1,0.2,0.1,3.5,0.1,1.1,-,6.75
"9Stephan El Shaarawy31,  Cc(CSD),AC","Stephan El Shaarawy 31,  Cc(CSD),AC",178,72,4(7),523,0.9,0.1,0.7,-,0.2,0.3,0.1,-,6.73
"10Tammy Abraham26,  AC","Tammy Abraham 26,  AC",190,80,10(4),868,0.9,-,1.1,0.1,0.3,0.1,0.1,-,6.67
"11Leonardo Spinazzola30,  Di(SD),Cc(S)","Leonardo Spinazzola 30,  Di(SD),Cc(S)",186,75,9(4),915,0.8,0.3,0.6,0.1,0.5,0.5,0.1,-,6.69
"12Mady Camara27,  Cc(C)","Mady Camara 27,  Cc(C)",185,75,2(4),219,0.8,0.3,0.3,-,0.2,0.3,-,-,6.36
"13Edoardo Bove21,  Cc(C)","Edoardo Bove 21,  Cc(C)",179,0,2(8),246,0.8,0.3,0.7,-,0.3,0.3,0.2,-,6.43
"14Cristian Volpato20,  Midfielder","Cristian Volpato 20,  Midfielder",187,0,1(2),128,0.7,-,0.7,-,-,-,-,-,6.46
"15Marash Kumbulla24,  Di(C)","Marash Kumbulla 24,  Di(C)",191,78,0(3),66,0.7,0.7,0.3,-,0.7,1,-,-,6.57
"16Zeki Çelik27,  Di(D),Cc(D)","Zeki Çelik 27,  Di(D),Cc(D)",180,78,5(3),424,0.6,0.6,0.8,-,1.3,0.5,0.1,-,6.39
"17Andrea Belotti30,  AC","Andrea Belotti 30,  AC",181,72,9(5),780,0.5,0.3,0.9,-,0.2,0.7,0.1,-,6.60
"18Eldor Shomurodov28,  AC","Eldor Shomurodov 28,  AC",190,81,0(2),35,0.5,-,0.5,-,-,-,-,-,6.55
"19Paulo Dybala30,  CO(CD),AC","Paulo Dybala 30,  CO(CD),AC",177,75,8(3),668,0.5,0.3,0.2,-,0.3,0.8,0.2,-,7.09
"20Diego Llorente30,  Di(C),MC","Diego Llorente 30,  Di(C),MC",186,75,2(1),134,0.3,0.3,0.3,-,0.7,0.3,-,-,6.26
"21Nicolò Zaniolo24,  CO(CSD),AC","Nicolò Zaniolo 24,  CO(CSD),AC",190,79,2(1),211,0.3,0.3,1.3,-,-,-,-,-,7.06
"22Rick Karsdorp29,  Di(D),Cc(D)","Rick Karsdorp 29,  Di(D),Cc(D)",184,80,5(1),277,0.3,0.2,0.3,-,-,0.2,-,-,6.37
"23Georginio Wijnaldum33,  Cc(CSD)","Georginio Wijnaldum 33,  Cc(CSD)",175,69,2(7),324,-,0.3,0.2,-,0.8,0.4,0.2,-,6.18
"24Giacomo Faticanti19,  Defender","Giacomo Faticanti 19,  Defender",186,0,0(1),13,-,-,-,-,-,-,-,-,6.00
"25Mile Svilar24,  POR","Mile Svilar 24,  POR",189,77,1,90,-,-,-,-,3,-,-,-,6.06
"26Rui Patrício36,  POR","Rui Patrício 36,  POR",190,84,14,1321,-,-,-,-,0.1,-,-,-,6.61
