Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Matteo Lovato24,  Di(C)","Matteo Lovato 24,  Di(C)",188,83,11(2),951,2.1,1.4,0.5,0.4,3.2,0.6,0.5,-,6.26
"2Norbert Gyömbér31,  Di(CD),MC","Norbert Gyömbér 31,  Di(CD),MC",189,74,17(2),1531,1.8,1.2,1.5,0.4,3.5,0.3,1.2,-,6.35
"3Lassana Coulibaly27,  Cc(CS)","Lassana Coulibaly 27,  Cc(CS)",183,77,16(2),1344,1.8,0.7,1.3,0.1,1.1,0.9,0.2,-,6.40
"4Giulio Maggiore25,  Cc(C)","Giulio Maggiore 25,  Cc(C)",184,69,14(6),1324,1.8,1,1.6,0.2,1.6,0.9,0.2,-,6.45
"5Alessandro Zanoli23,  Di(D),Cc(D)","Alessandro Zanoli 23,  Di(D),Cc(D)",188,74,5(2),423,1.4,0.1,0.1,0.1,0.4,0.3,0.1,1,6.11
"6Pasquale Mazzocchi28,  Di(SD),Cc(SD)","Pasquale Mazzocchi 28,  Di(SD),Cc(SD)",183,78,16(2),1278,1.4,0.3,1.3,0.2,1.6,0.7,0.3,-,6.34
"7Flavius Daniliuc22,  Di(CD)","Flavius Daniliuc 22,  Di(CD)",188,77,8(6),744,1.4,0.6,1,0.4,1,0.7,0.3,-,6.20
"8Lorenzo Pirola22,  Di(C)","Lorenzo Pirola 22,  Di(C)",185,72,15(2),1209,1.4,0.6,1.1,0.1,3.2,0.5,1,-,6.38
"9Toma Basic27,  Cc(C)","Toma Basic 27,  Cc(C)",189,80,7,563,1.3,1.1,0.6,-,1.1,0.6,0.7,-,6.54
"10Jovane Cabral25,  CO(CSD),AC","Jovane Cabral 25,  CO(CSD),AC",174,72,8(4),680,1.1,0.1,1.6,-,0.3,0.5,-,-,6.58
"11Domagoj Bradaric24,  Di(S),Cc(S)","Domagoj Bradaric 24,  Di(S),Cc(S)",178,69,22(4),2047,1.1,1,0.4,0.3,1.5,0.3,0.2,-,6.41
"12Federico Fazio36,  Di(C)","Federico Fazio 36,  Di(C)",195,85,10(2),834,0.9,0.7,0.4,0.4,5,0.4,1.1,-,6.61
