Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Bram Nuytinck33,  Di(C)","Bram Nuytinck 33,  Di(C)",190,80,19,1504,2.8,1.2,1.2,0.4,4.3,0.6,1.1,-,6.67
"2Mehdi Léris25,  Cc(CSD)","Mehdi Léris 25,  Cc(CSD)",186,83,29(3),2465,2,0.8,1.6,-,0.9,1,0.2,-,6.62
"3Bruno Amione22,  Di(C)","Bruno Amione 22,  Di(C)",187,83,25(1),2093,1.9,1,0.9,0.7,2.2,0.9,0.4,-,6.49
"4Bartosz Bereszynski31,  Di(CSD),Cc(D)","Bartosz Bereszynski 31,  Di(CSD),Cc(D)",183,77,15,1203,1.9,1.4,0.9,0.4,1.4,0.6,0.3,-,6.43
"5Fabio Depaoli26,  Di(D),Cc(CSD)","Fabio Depaoli 26,  Di(D),Cc(CSD)",178,71,1(2),134,1.7,0.3,0.3,-,1.3,0.3,-,-,6.53
"6Tomás Rincón36,  Cc(CD)","Tomás Rincón 36,  Cc(CD)",177,76,30(4),2566,1.6,0.9,1.7,-,0.5,0.9,0.2,-,6.39
"7Harry Winks28,  MC","Harry Winks 28,  MC",178,65,19(1),1719,1.4,1.2,0.8,-,1,1.5,0.4,-,6.46
"8Filip Djuricic32,  CO(CSD),AC","Filip Djuricic 32,  CO(CSD),AC",181,73,27(5),2186,1.3,0.2,1.2,-,0.2,0.6,0.2,-,6.44
"9Ignacio Pussetto28,  CO(CSD),AC","Ignacio Pussetto 28,  CO(CSD),AC",180,74,1(4),150,1.2,-,1.4,-,0.6,0.2,-,-,6.22
"10Nicola Murru29,  Di(S),Cc(S)","Nicola Murru 29,  Di(S),Cc(S)",180,74,5(15),775,1.2,0.5,0.8,0.1,1,0.3,0.4,-,6.14
"11Ronaldo Vieira25,  MC","Ronaldo Vieira 25,  MC",178,70,8(8),815,1.1,0.8,1.3,0.1,0.6,0.2,0.3,-,6.18
"12Jeison Murillo31,  Di(C)","Jeison Murillo 31,  Di(C)",182,78,12(8),1058,1.1,0.4,0.9,0.5,2,0.5,0.7,1,6.24
"13Michaël Cuisance24,  Cc(C)","Michaël Cuisance 24,  Cc(C)",181,74,9(3),624,1.1,0.4,0.7,-,0.3,1.4,-,-,6.34
"14Omar Colley31,  Di(C)","Omar Colley 31,  Di(C)",192,88,15(1),1385,1.1,1.4,0.9,0.8,4.3,0.2,0.3,-,6.51
"15Abdelhamid Sabiri27,  CO(CS),AC","Abdelhamid Sabiri 27,  CO(CS),AC",183,80,12(6),1071,1,0.1,1.6,0.1,0.3,0.5,0.2,-,6.44
"16Alessandro Zanoli23,  Di(D),Cc(D)","Alessandro Zanoli 23,  Di(D),Cc(D)",188,74,16(6),1539,1,0.5,0.2,-,1.6,0.4,0.7,-,6.59
"17Gerard Yepes21,  Midfielder","Gerard Yepes 21,  Midfielder",170,0,2(3),198,1,0.8,1.4,-,0.6,0.4,-,-,6.14
