Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Simone Bastoni27,  Di(S),MC,Cc(S)","Simone Bastoni 27,  Di(S),MC,Cc(S)",183,74,15(4),1198,2.5,0.4,1.5,0.1,0.7,0.9,0.3,-,6.65
"2Ethan Ampadu23,  Di(C),MC","Ethan Ampadu 23,  Di(C),MC",182,78,31,2649,2.1,1.2,1.4,0.5,2.9,0.8,0.7,-,6.63
"3Kevin Agudelo25,  CO(CD),AC","Kevin Agudelo 25,  CO(CD),AC",178,70,23(11),2140,2.1,0.3,1,-,0.2,1,0.1,-,6.53
"4Julius Beck18,  Midfielder","Julius Beck 18,  Midfielder",178,61,0(1),9,2,-,1,-,-,-,-,-,6.03
"5Kelvin Amian26,  Di(CSD),Cc(D)","Kelvin Amian 26,  Di(CSD),Cc(D)",180,78,26(4),2374,1.8,0.7,1.2,0.3,2.5,0.2,0.4,-,6.44
"6João Moutinho26,  Di(S),Cc(S)","João Moutinho 26,  Di(S),Cc(S)",183,70,0(4),57,1.8,-,0.3,-,-,0.3,0.3,-,6.13
"7Tio Cipot20,  Forward","Tio Cipot 20,  Forward",184,0,0(8),133,1.5,-,0.1,-,0.3,0.3,-,-,6.19
"8Arkadiusz Reca28,  Di(S),Cc(S)","Arkadiusz Reca 28,  Di(S),Cc(S)",187,81,24(6),2171,1.5,0.8,1.1,0.1,1.7,0.4,0.2,-,6.51
"9Emil Holm23,  Cc(D)","Emil Holm 23,  Cc(D)",191,83,17(3),1398,1.3,0.5,1.1,-,1.7,0.8,0.3,-,6.64
"10Jakub Kiwior24,  Di(CS),MC","Jakub Kiwior 24,  Di(CS),MC",189,75,17,1447,1.3,1.4,0.9,0.6,4,1.1,1.1,-,6.62
"11Dimitrios Nikolaou25,  Di(CS)","Dimitrios Nikolaou 25,  Di(CS)",188,82,34(2),2964,1.3,0.8,0.8,0.4,2.1,0.3,0.7,-,6.36
"12Albin Ekdal34,  Cc(C)","Albin Ekdal 34,  Cc(C)",186,75,18(13),1732,1.2,0.8,1,-,1.2,0.8,0.1,-,6.37
"13Mattia Caldara29,  Di(C)","Mattia Caldara 29,  Di(C)",187,80,13(7),1251,1.2,0.9,0.8,0.6,4.3,0.6,0.8,1,6.40
"14Mehdi Bourabia32,  Cc(C)","Mehdi Bourabia 32,  Cc(C)",183,73,36(1),2796,1.1,0.9,0.9,-,1.5,0.6,0.3,-,6.52
"15Petar Zovko21,  Goalkeeper","Petar Zovko 21,  Goalkeeper",192,85,0(1),72,1,-,-,-,1,-,-,-,6.38
"16Salvatore Esposito23,  Cc(C)","Salvatore Esposito 23,  Cc(C)",178,70,10(5),971,1,0.7,0.7,-,1.1,1.1,0.1,-,6.43
"17Przemyslaw Wisniewski25,  Di(C)","Przemyslaw Wisniewski 25,  Di(C)",195,88,11(3),1000,0.9,0.8,0.9,0.6,4.7,0.9,0.6,2,6.51
"18Szymon Zurkowski26,  CO(C)","Szymon Zurkowski 26,  CO(C)",185,79,3(7),425,0.9,0.4,1.5,-,0.6,1.3,0.2,-,6.25
"19Salvador Ferrer26,  Di(D)","Salvador Ferrer 26,  Di(D)",184,73,0(5),130,0.8,0.2,0.4,0.2,0.8,0.4,0.2,-,6.14
