Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Perr Schuurs24,  Di(C)","Perr Schuurs 24,  Di(C)",191,80,28(2),2334,1.7,0.9,1,0.4,3.2,0.4,0.5,-,6.67
"2Ricardo Rodríguez31,  Di(CS),Cc(S)","Ricardo Rodríguez 31,  Di(CS),Cc(S)",180,78,30(5),2670,1.5,1.1,0.7,0.1,1.6,0.4,0.4,-,6.65
"3Brian Bayeye23,  Midfielder","Brian Bayeye 23,  Midfielder",182,77,1(1),63,1.5,0.5,0.5,-,1,-,0.5,-,6.31
"4Koffi Djidji31,  Di(CS)","Koffi Djidji 31,  Di(CS)",184,71,26(8),2422,1.5,1,0.8,0.2,2,0.4,0.4,-,6.50
"5Sasa Lukic27,  Cc(C)","Sasa Lukic 27,  Cc(C)",183,76,13(3),1195,1.3,0.8,1.6,-,0.6,0.4,0.4,-,6.58
"6Ivan Ilic22,  Cc(C)","Ivan Ilic 22,  Cc(C)",182,77,13(1),1180,1.3,0.4,0.9,0.1,0.7,0.7,0.2,-,6.85
"7Samuele Ricci22,  Cc(C)","Samuele Ricci 22,  Cc(C)",174,59,23(5),2073,1.1,0.6,0.8,-,0.9,0.2,0.2,-,6.62
"8Alessandro Buongiorno24,  Di(C)","Alessandro Buongiorno 24,  Di(C)",191,80,30(4),2723,1.1,1.8,1.9,0.3,2.9,0.4,0.6,-,6.77
"9David Zima23,  Di(C)","David Zima 23,  Di(C)",190,78,4(5),402,1,1,0.4,0.1,1.2,0.1,0.2,-,6.36
"10Gvidas Gineitis19,  Cc(C)","Gvidas Gineitis 19,  Cc(C)",187,0,2(1),137,1,-,2,-,0.3,0.3,-,-,6.02
"11Karol Linetty29,  Cc(CSD)","Karol Linetty 29,  Cc(CSD)",176,73,22(10),1888,1,0.6,1.6,-,0.7,0.4,0.3,-,6.42
"12Nikola Vlasic26,  CO(CSD),AC","Nikola Vlasic 26,  CO(CSD),AC",178,72,29(5),2732,0.9,0.3,0.9,-,0.3,0.6,0.1,-,6.74
"13Ola Aina27,  Di(CSD),Cc(SD)","Ola Aina 27,  Di(CSD),Cc(SD)",184,82,9(10),874,0.9,0.6,0.8,0.1,1,0.3,0.1,-,6.68
"14Wilfried Singo23,  Di(CD),Cc(D)","Wilfried Singo 23,  Di(CD),Cc(D)",190,79,24(7),2056,0.9,0.4,1.4,0.1,0.9,0.2,0.1,-,6.64
"15Michel Adopo23,  Midfielder","Michel Adopo 23,  Midfielder",187,0,3(6),260,0.8,0.1,0.7,-,0.4,0.2,0.2,-,6.28
"16Mërgim Vojvoda29,  Di(CD),Cc(SD)","Mërgim Vojvoda 29,  Di(CD),Cc(SD)",187,78,18(11),1717,0.8,0.3,0.7,-,0.8,0.4,0.1,-,6.48
"17Ronaldo Vieira25,  MC","Ronaldo Vieira 25,  MC",178,70,0(2),15,0.5,-,0.5,-,1,-,-,-,6.09
"18Valentino Lazaro27,  Di(D),Cc(CSD)","Valentino Lazaro 27,  Di(D),Cc(CSD)",180,75,15(8),1377,0.4,0.1,0.6,0.1,1,0.4,0.1,-,6.52
"19Andreaw Gravillon26,  Di(CD)","Andreaw Gravillon 26,  Di(CD)",188,75,4(3),312,0.4,1.3,1.3,-,2.3,-,0.3,-,6.28
"20Aleksey Miranchuk28,  Cc(CD),AC","Aleksey Miranchuk 28,  Cc(CD),AC",182,74,24(5),2099,0.4,0.1,0.3,-,0.2,0.3,-,-,6.64
"21Antonio Sanabria28,  AC","Antonio Sanabria 28,  AC",180,70,28(5),2442,0.3,0.1,1,-,0.2,0.2,0.1,-,6.82
"22Pietro Pellegri22,  AC","Pietro Pellegri 22,  AC",196,78,4(14),460,0.3,-,0.8,0.1,0.2,0.1,0.1,-,6.20
"23Demba Seck23,  CO(C)","Demba Seck 23,  CO(C)",190,76,6(13),516,0.3,0.1,0.4,-,0.1,0.1,0.1,-,6.23
"24Emirhan Ilkhan19,  CO(C)","Emirhan Ilkhan 19,  CO(C)",175,0,1(3),88,0.3,0.5,1.3,-,0.5,-,0.3,-,6.19
"25Yann Karamoh25,  CO(CSD),AC","Yann Karamoh 25,  CO(CSD),AC",185,77,7(14),710,0.2,-,0.5,-,-,0.2,-,-,6.42
"26Nemanja Radonjic28,  Cc(CSD),AC","Nemanja Radonjic 28,  Cc(CSD),AC",185,78,16(12),1458,0.1,0.1,0.6,-,0.1,0.1,-,-,6.49
"27Vanja Milinkovic-Savic27,  POR","Vanja Milinkovic-Savic 27,  POR",202,96,38,3420,0.1,-,-,-,1,-,-,-,6.58
"28Jacopo Segre27,  Midfielder","Jacopo Segre 27,  Midfielder",185,75,0(1),20,-,-,-,-,-,-,-,-,5.98
