Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Nehuén Pérez23,  Di(C)","Nehuén Pérez 23,  Di(C)",185,75,27,2430,2.1,1.3,1,0.3,4.2,0.2,0.6,-,6.74
"2Jaka Bijol25,  Di(C),Cc(C),AC","Jaka Bijol 25,  Di(C),Cc(C),AC",190,85,13,1170,2,1.1,1.4,0.7,5.1,0.8,0.8,-,6.83
"3João Ferreira22,  Di(CD),Cc(D)","João Ferreira 22,  Di(CD),Cc(D)",185,79,14(10),1388,1.8,1,1.1,0.2,2.2,0.6,0.2,-,6.51
"4Walace28,  MC","Walace 28,  MC",188,75,27,2348,1.7,1.3,1,-,1.5,1.1,0.1,-,6.66
"5Lautaro Giannetti30,  Di(C)","Lautaro Giannetti 30,  Di(C)",184,79,5,450,1.4,3,1,0.2,5.6,-,0.6,-,7.08
"6Martín Payero25,  CO(C)","Martín Payero 25,  CO(C)",183,80,13(7),1139,1.4,0.7,1.3,-,0.6,0.9,0.1,-,6.49
"7Thomas Thiesson Kristensen22,  Di(C)","Thomas Thiesson Kristensen 22,  Di(C)",198,85,15(2),1332,1.3,1.2,0.9,0.2,4.2,0.4,0.5,-,6.54
"8Festy Ebosele21,  Cc(D)","Festy Ebosele 21,  Cc(D)",180,0,20(6),1596,1.2,0.3,1,0.1,0.8,0.5,-,-,6.39
"9Jordan Zemura24,  Di(S),Cc(S)","Jordan Zemura 24,  Di(S),Cc(S)",173,63,10(10),939,1.2,0.7,0.7,-,0.7,0.4,0.1,-,6.36
"10Hassane Kamara29,  Di(S),Cc(SD)","Hassane Kamara 29,  Di(S),Cc(SD)",168,67,16(8),1351,1.1,0.7,0.6,0.1,1.2,0.3,0.1,-,6.52
"11Adam Masina30,  Di(CS),Cc(S)","Adam Masina 30,  Di(CS),Cc(S)",189,78,1(3),63,1,0.5,0.8,-,1.3,0.5,0.3,-,6.16
"12Axel Guessand19,  Defender","Axel Guessand 19,  Defender",172,0,0(1),45,1,-,-,1,-,-,-,-,6.16
"13Enzo Ebosse24,  Di(C)","Enzo Ebosse 24,  Di(C)",185,74,0(1),8,1,1,-,-,-,1,-,-,6.20
"14Beto26,  AC","Beto 26,  AC",194,88,1,74,1,-,-,-,-,-,-,-,6.54
"15Lazar Samardzic22,  CO(C)","Lazar Samardzic 22,  CO(C)",177,70,19(5),1583,1,0.3,0.8,-,0.7,0.6,0.2,-,6.86
"16Sandi Lovric25,  CO(C)","Sandi Lovric 25,  CO(C)",180,70,18(7),1713,0.9,0.7,0.9,-,0.7,0.4,0.1,-,6.58
"17Christian Kabasele33,  Di(C)","Christian Kabasele 33,  Di(C)",187,84,10(1),859,0.9,1.1,1.4,0.4,4.9,0.8,0.7,-,6.59
"18Brenner24,  AC","Brenner 24,  AC",175,70,0(4),36,0.8,-,-,-,-,-,-,-,6.11
"19Roberto Pereyra33,  Cc(CSD),AC","Roberto Pereyra 33,  Cc(CSD),AC",182,77,15(4),1247,0.6,0.2,0.8,0.1,0.3,0.5,0.1,-,6.58
"20Kingsley Ehizibue28,  Di(D),Cc(D)","Kingsley Ehizibue 28,  Di(D),Cc(D)",189,78,3(10),400,0.5,0.4,0.3,0.1,1,0.1,0.2,-,6.28
"21Domingos Quina24,  Cc(CS)","Domingos Quina 24,  Cc(CS)",179,72,0(2),12,0.5,-,-,-,-,-,-,-,6.08
"22Lorenzo Lucca23,  AC","Lorenzo Lucca 23,  AC",201,80,20(7),1784,0.4,0.1,1.2,-,0.9,0.4,0.1,-,6.57
"23Oier Zarraga25,  MC,Cc(D)","Oier Zarraga 25,  MC,Cc(D)",175,76,1(7),108,0.3,0.3,0.1,-,0.5,0.3,0.1,-,6.06
"24Florian Thauvin31,  Cc(CSD),AC","Florian Thauvin 31,  Cc(CSD),AC",179,70,15(10),1357,0.2,0.1,0.4,-,-,0.3,-,-,6.57
"25Isaac Success28,  CO(SD),AC","Isaac Success 28,  CO(SD),AC",186,86,7(14),746,0.2,-,1.2,-,0.5,-,-,-,6.25
"26Antonio Tikvic19,  Defender","Antonio Tikvic 19,  Defender",195,0,0(1),1,-,-,-,-,-,-,-,-,6.00
"27Daniele Padelli38,  POR","Daniele Padelli 38,  POR",191,82,1,1,-,-,-,-,-,-,-,-,6.00
"28Keinan Davis26,  AC","Keinan Davis 26,  AC",191,68,0(2),19,-,-,-,-,-,-,-,-,6.04
"29Maduka Okoye24,  POR","Maduka Okoye 24,  POR",197,94,10,900,-,0.1,-,-,1,-,-,-,6.86
"30Marco Silvestri33,  POR","Marco Silvestri 33,  POR",191,80,17,1530,-,-,-,-,0.6,0.2,-,-,6.20
"31Marley Aké23,  Forward","Marley Aké 23,  Forward",178,73,0(1),9,-,-,-,-,-,-,-,-,5.97
"32Simone Pafundi17,  Midfielder","Simone Pafundi 17,  Midfielder",166,64,0(1),7,-,-,1,-,-,-,-,-,5.97
"33Vivaldo Semedo19,  Forward","Vivaldo Semedo 19,  Forward",192,85,0(1),11,-,-,1,-,-,-,-,-,5.98
