Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Panagiotis Retsos25,  Di(CSD)","Panagiotis Retsos 25,  Di(CSD)",186,79,1(1),122,2.5,1,2,1,1.5,-,0.5,-,6.63
"2Isak Hien25,  Di(C)","Isak Hien 25,  Di(C)",191,88,28(4),2608,2.3,1,1.6,0.5,2.8,0.7,0.5,-,6.60
"3Pawel Dawidowicz28,  Di(C)","Pawel Dawidowicz 28,  Di(C)",189,80,20(3),1636,2.1,1,1.6,0.3,3,0.4,0.4,-,6.57
"4Fabio Depaoli26,  Di(D),Cc(CSD)","Fabio Depaoli 26,  Di(D),Cc(CSD)",178,71,24(7),2172,1.5,0.6,1.4,-,0.9,0.6,0.2,-,6.37
"5Miguel Veloso37,  Cc(C)","Miguel Veloso 37,  Cc(C)",180,79,14(8),1169,1.5,0.3,0.9,-,0.5,0.5,0.3,1,6.39
"6Davide Faraoni32,  Di(D),Cc(D)","Davide Faraoni 32,  Di(D),Cc(D)",180,71,19(4),1493,1.5,0.7,0.9,-,1.5,1.1,0.5,-,6.42
"7Ondrej Duda29,  Cc(C),AC","Ondrej Duda 29,  Cc(C),AC",181,75,11(4),1066,1.5,0.9,1.1,-,0.5,0.5,-,-,6.55
"8Ivan Ilic22,  Cc(C)","Ivan Ilic 22,  Cc(C)",182,77,10(1),852,1.5,0.7,0.8,-,1.2,0.5,0.1,-,6.75
"9Adrien Tameze30,  Di(C),Cc(C)","Adrien Tameze 30,  Di(C),Cc(C)",180,78,35(2),3038,1.4,1,0.9,-,1.4,0.9,0.4,-,6.41
"10Giangiacomo Magnani28,  Di(C)","Giangiacomo Magnani 28,  Di(C)",190,85,19(5),1535,1.4,0.9,0.9,0.1,3.1,0.3,0.6,1,6.50
"11Diego Coppola20,  Di(C)","Diego Coppola 20,  Di(C)",192,78,11(8),1171,1.3,0.7,0.5,0.2,1.9,0.7,0.3,-,6.36
"12Ibrahim Sulemana20,  Cc(C)","Ibrahim Sulemana 20,  Cc(C)",180,0,6(10),648,1.2,0.9,0.7,-,0.9,0.4,0.1,-,6.32
"13Federico Ceccherini31,  Di(C)","Federico Ceccherini 31,  Di(C)",186,72,18(4),1431,1.1,0.9,1.4,0.1,2.4,0.5,0.5,-,6.48
"14Alessandro Cortinovis23,  Midfielder","Alessandro Cortinovis 23,  Midfielder",180,0,0(1),6,1,-,-,-,-,-,-,-,6.12
"15Bruno Amione22,  Di(C)","Bruno Amione 22,  Di(C)",187,83,1,58,1,-,3,-,4,1,-,-,5.78
"16Deyovaisio Zeefuik25,  Di(D),Cc(D)","Deyovaisio Zeefuik 25,  Di(D),Cc(D)",178,78,0(1),9,1,-,-,-,-,-,-,-,6.01
"17Filippo Terracciano21,  Di(S),Cc(D)","Filippo Terracciano 21,  Di(S),Cc(D)",180,68,7(13),816,1,0.5,0.4,-,0.6,0.3,0.2,-,6.39
"18Juan Cabal23,  Di(S)","Juan Cabal 23,  Di(S)",186,79,3(8),441,0.9,1.2,0.6,0.4,0.9,0.5,0.5,-,6.35
"19Martin Hongla25,  Di(C),MC","Martin Hongla 25,  Di(C),MC",182,77,6(3),524,0.9,0.7,1.2,-,0.9,-,0.1,-,6.36
"20Josh Doig21,  Di(CS),Cc(S)","Josh Doig 21,  Di(CS),Cc(S)",189,71,15(7),1359,0.9,0.5,0.6,-,0.5,0.5,0.3,-,6.50
"21Jayden Braaf21,  Forward","Jayden Braaf 21,  Forward",180,84,2(4),289,0.8,0.3,1.3,-,0.2,-,-,-,6.45
"22Darko Lazovic33,  Cc(CSD)","Darko Lazovic 33,  Cc(CSD)",181,73,27(3),2254,0.8,0.5,0.3,-,0.6,0.5,0.1,-,6.67
"23Koray Günter29,  Di(C)","Koray Günter 29,  Di(C)",184,79,11(2),1003,0.8,2.3,1.3,0.2,3.5,0.2,1.2,-,6.66
"24Oliver Abildgaard27,  MC","Oliver Abildgaard 27,  MC",192,66,6(7),584,0.8,0.4,1,-,1.3,0.7,0.1,-,6.47
"25Yayah Kallon22,  CO(C)","Yayah Kallon 22,  CO(C)",175,70,8(14),856,0.6,0.4,0.6,-,0.1,0.2,-,-,6.28
"26Simone Verdi31,  CO(CSD),AC","Simone Verdi 31,  CO(CSD),AC",171,62,12(12),1093,0.6,-,0.6,-,0.1,0.5,-,-,6.62
"27Cyril Ngonge23,  CO(CD),AC","Cyril Ngonge 23,  CO(CD),AC",179,73,9(5),747,0.5,0.4,0.9,-,0.3,0.6,-,-,6.56
"28Kevin Lasagna31,  CO(CS),AC","Kevin Lasagna 31,  CO(CS),AC",185,80,17(9),1575,0.5,0.2,0.9,-,0.4,0.3,-,-,6.23
"29Ajdin Hrustic27,  Cc(CSD)","Ajdin Hrustic 27,  Cc(CSD)",183,78,3(3),226,0.3,-,1.2,-,0.3,0.2,-,-,6.00
"30Adolfo Gaich25,  AC","Adolfo Gaich 25,  AC",190,94,8(8),724,0.3,0.2,1.1,0.1,0.4,0.3,0.1,1,6.34
"31Thomas Henry29,  AC","Thomas Henry 29,  AC",192,86,13(3),1038,0.3,-,1.7,-,0.9,0.3,0.1,-,6.38
"32Roberto Piccoli23,  AC","Roberto Piccoli 23,  AC",187,78,2(5),189,0.1,-,0.3,-,0.3,0.3,-,-,6.11
"33Milan Djuric33,  AC","Milan Djuric 33,  AC",198,94,14(14),1364,0.1,-,0.9,-,0.9,0.1,0.1,-,6.74
"34Lorenzo Montipò28,  POR","Lorenzo Montipò 28,  POR",191,82,37,3330,-,-,-,-,1.1,0.1,-,-,6.63
"35Antonín Barák29,  CO(CD)","Antonín Barák 29,  CO(CD)",190,86,0(1),23,-,-,-,-,-,-,-,-,6.00
"36Simone Perilli29,  Goalkeeper","Simone Perilli 29,  Goalkeeper",195,88,1,90,-,-,-,-,-,-,-,-,7.00
